"",BBFN1.M.DE.N.1.L.PA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:57,
1975-12,0.069,
1976-01,0.069,
1976-02,0.064,
1976-03,0.075,
1976-04,0.076,
1976-05,0.070,
1976-06,0.072,
1976-07,0.075,
1976-08,0.076,
1976-09,0.074,
1976-10,0.073,
1976-11,0.014,
1976-12,0.025,
1977-01,0.025,
1977-02,0.021,
1977-03,0.014,
1977-04,0.021,
1977-05,0.014,
1977-06,0.024,
1977-07,0.037,
1977-08,0.032,
1977-09,0.035,
1977-10,0.028,
1977-11,0.028,
1977-12,0.040,
1978-01,0.052,
1978-02,0.067,
1978-03,0.058,
1978-04,0.078,
1978-05,0.072,
1978-06,0.074,
1978-07,0.073,
1978-08,0.073,
1978-09,0.093,
1978-10,0.081,
1978-11,0.104,
1978-12,0.084,
1979-01,0.108,
1979-02,0.106,
1979-03,0.112,
1979-04,0.135,
1979-05,0.116,
1979-06,0.102,
1979-07,0.090,
1979-08,0.083,
1979-09,0.072,
1979-10,0.057,
1979-11,0.061,
1979-12,0.023,
1980-01,0.048,
1980-02,0.097,
1980-03,0.099,
1980-04,0.076,
1980-05,0.117,
1980-06,0.115,
1980-07,0.126,
1980-08,0.124,
1980-09,0.117,
1980-10,0.112,
1980-11,0.092,
1980-12,0.054,
1981-01,0.093,
1981-02,0.076,
1981-03,0.066,
1981-04,0.122,
1981-05,0.120,
1981-06,0.122,
1981-07,0.136,
1981-08,0.153,
1981-09,0.136,
1981-10,0.140,
1981-11,0.134,
1981-12,0.137,
1982-01,0.115,
1982-02,0.153,
1982-03,0.142,
1982-04,0.157,
1982-05,0.134,
1982-06,0.130,
1982-07,0.121,
1982-08,0.135,
1982-09,0.122,
1982-10,0.114,
1982-11,0.078,
1982-12,0.119,
1983-01,0.092,
