"",BBSF2.M.1.S.00000.TOT01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:48,
2009-09,62488,
2009-10,66208,
2009-11,69077,
2009-12,73762,
2010-01,75159,
2010-02,76818,
2010-03,80909,
2010-04,83969,
2010-05,84890,
2010-06,85673,
2010-07,88438,
2010-08,95138,
2010-09,97434,
2010-10,100074,
2010-11,103151,
2010-12,105928,
2011-01,106321,
2011-02,111131,
2011-03,110549,
2011-04,113471,
2011-05,115106,
2011-06,114830,
2011-07,116483,
2011-08,110185,
2011-09,108871,
2011-10,111909,
2011-11,114148,
2011-12,117893,
2012-01,123259,
2012-02,132831,
2012-03,133553,
2012-04,134518,
2012-05,134196,
2012-06,136931,
2012-07,150208,
2012-08,152278,
2012-09,154549,
2012-10,159117,
2012-11,161810,
2012-12,171159,
2013-01,174577,
2013-02,177409,
2013-03,182368,
2013-04,187390,
2013-05,185837,
2013-06,177599,
2013-07,184366,
2013-08,182393,
2013-09,187071,
2013-10,193278,
2013-11,194704,
2013-12,194492,
2014-01,194337,
2014-02,198411,
2014-03,199272,
2014-04,202800,
2014-05,207165,
2014-06,210422,
2014-07,216386,
2014-08,221639,
2014-09,220364,
2014-10,221150,
2014-11,226851,
