"",BBK01.OECI08I,BBK01.OECI08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:06,
2002-01,1.282,
2002-04,0.834,
2002-07,0.816,
2002-10,0.899,
2003-01,0.863,
2003-04,0.846,
2003-07,0.940,
2003-10,0.943,
2004-01,0.887,
2004-04,0.867,
2004-07,1.025,
2004-10,1.061,
2005-01,3.677,
2005-04,3.688,
2005-07,3.693,
2005-10,3.726,
2006-01,3.654,
2006-04,3.644,
2006-07,3.584,
2006-10,3.559,
2007-01,3.616,
2007-04,3.562,
2007-07,3.456,
2007-10,3.467,
2008-01,3.456,
2008-04,3.582,
2008-07,3.453,
2008-10,3.459,
2009-01,3.661,
2009-04,3.876,
2009-07,4.142,
2009-10,4.351,
2010-01,4.429,
2010-04,4.420,
2010-07,4.445,
2010-10,4.483,
2011-01,4.427,
2011-04,4.372,
2011-07,4.359,
2011-10,4.368,
2012-01,4.674,
2012-04,4.603,
2012-07,4.587,
2012-10,4.651,
2013-01,4.621,
2013-04,4.580,
2013-07,4.474,
2013-10,4.440,
2014-01,4.376,
2014-04,4.259,
2014-07,4.347,
