"",BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:40,
1991-01,217.961,
1991-04,465.506,
1991-07,11.494,
1991-10,-380.771,
1992-01,567.019,
1992-04,118.773,
1992-07,-622.910,
1992-10,-454.304,
1993-01,-117.757,
1993-04,5.551,
1993-07,226.874,
1993-10,-37.911,
1994-01,277.531,
1994-04,-79.113,
1994-07,-110.657,
1994-10,-296.046,
1995-01,-220.877,
1995-04,117.287,
1995-07,136.442,
1995-10,-298.464,
1996-01,-91.353,
1996-04,-579.874,
1996-07,83.422,
1996-10,293.315,
1997-01,-403.288,
1997-04,321.697,
1997-07,-118.842,
1997-10,277.288,
1998-01,-372.699,
1998-04,900.258,
1998-07,-561.563,
1998-10,406.886,
1999-01,535.352,
1999-04,552.246,
1999-07,0.982,
1999-10,-18.960,
2000-01,-415.552,
2000-04,-156.669,
2000-07,98.828,
2000-10,-689.285,
2001-01,-369.041,
2001-04,87.961,
2001-07,53.284,
2001-10,158.922,
2002-01,285.277,
2002-04,-81.321,
2002-07,106.107,
2002-10,415.139,
2003-01,237.693,
2003-04,200.242,
2003-07,988.175,
2003-10,857.120,
2004-01,768.788,
2004-04,1015.756,
2004-07,369.643,
2004-10,718.706,
2005-01,308.750,
2005-04,288.509,
2005-07,550.689,
2005-10,351.396,
2006-01,-99.595,
2006-04,343.452,
2006-07,724.171,
2006-10,391.418,
2007-01,814.547,
2007-04,1787.819,
2007-07,-35.611,
2007-10,-83.257,
2008-01,-796.237,
2008-04,-126.151,
2008-07,184.873,
2008-10,673.548,
2009-01,-121.998,
2009-04,1043.063,
2009-07,-1703.753,
2009-10,896.457,
2010-01,1954.563,
2010-04,863.514,
2010-07,3006.543,
2010-10,1635.696,
2011-01,-65.868,
2011-04,251.458,
2011-07,872.797,
2011-10,-1765.573,
2012-01,720.381,
2012-04,219.310,
2012-07,1238.518,
2012-10,-89.488,
2013-01,92.181,
2013-04,-159.073,
2013-07,403.355,
2013-10,436.681,
2014-01,67.274,Provisional value
2014-04,-242.263,Provisional value
2014-07,1409.991,Provisional value
2014-10,253.126,Provisional value
