"",BBK01.OEYL07G,BBK01.OEYL07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:32,
2002-01,5.018,
2002-04,4.963,
2002-07,4.967,
2002-10,5.185,
2003-01,5.344,
2003-04,5.442,
2003-07,5.426,
2003-10,5.397,
2004-01,5.359,
2004-04,5.314,
2004-07,5.296,
2004-10,5.339,
2005-01,5.348,
2005-04,5.403,
2005-07,7.698,
2005-10,7.813,
2006-01,7.804,
2006-04,7.632,
2006-07,7.482,
2006-10,7.259,
2007-01,7.100,
2007-04,6.715,
2007-07,6.422,
2007-10,6.302,
2008-01,6.114,
2008-04,5.766,
2008-07,5.481,
2008-10,5.325,
2009-01,5.597,
2009-04,5.672,
2009-07,5.848,
2009-10,6.419,
2010-01,6.474,
2010-04,6.495,
2010-07,6.576,
2010-10,6.723,
2011-01,6.795,
2011-04,6.619,
2011-07,6.556,
2011-10,6.480,
2012-01,6.637,
2012-04,6.613,
2012-07,6.589,
2012-10,6.685,
2013-01,6.647,
2013-04,6.588,
2013-07,6.525,
2013-10,6.486,
2014-01,6.484,
2014-04,6.503,
2014-07,6.516,
