"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.SE.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.SE.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Sweden,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:22,
2009-09,657,
2009-10,694,
2009-11,676,
2009-12,644,
2010-01,658,
2010-02,685,
2010-03,740,
2010-04,799,
2010-05,754,
2010-06,781,
2010-07,826,
2010-08,811,
2010-09,942,
2010-10,972,
2010-11,995,
2010-12,1069,
2011-01,1056,
2011-02,1016,
2011-03,998,
2011-04,1020,
2011-05,1009,
2011-06,906,
2011-07,881,
2011-08,746,
2011-09,713,
2011-10,814,
2011-11,785,
2011-12,847,
2012-01,883,
2012-02,955,
2012-03,922,
2012-04,913,
2012-05,876,
2012-06,946,
2012-07,1105,
2012-08,1080,
2012-09,1136,
2012-10,1129,
2012-11,1234,
2012-12,1321,
2013-01,1420,
2013-02,1448,
2013-03,1451,
2013-04,1372,
2013-05,1386,
2013-06,1341,
2013-07,1407,
2013-08,1375,
2013-09,1467,
2013-10,1515,
2013-11,1522,
2013-12,1538,
2014-01,1509,
2014-02,1559,
2014-03,1527,
2014-04,1533,
2014-05,1547,
2014-06,1520,
2014-07,1502,
2014-08,1524,
2014-09,1541,
2014-10,1548,
2014-11,1565,
