"",BBK01.OEAC46H,BBK01.OEAC46H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:27,
2002-01,184.621,
2002-04,183.261,
2002-07,182.901,
2002-10,182.240,
2003-01,180.540,
2003-04,179.216,
2003-07,177.224,
2003-10,179.355,
2004-01,176.629,
2004-04,175.177,
2004-07,173.517,
2004-10,169.209,
2005-01,169.497,
2005-04,167.964,
2005-07,167.644,
2005-10,166.695,
2006-01,166.390,
2006-04,165.069,
2006-07,163.903,
2006-10,161.836,
2007-01,160.394,
2007-04,159.061,
2007-07,158.213,
2007-10,156.069,
2008-01,155.822,
2008-04,155.680,
2008-07,155.507,
2008-10,153.252,
2009-01,151.445,
2009-04,135.405,
2009-07,136.432,
2009-10,136.523,
2010-01,135.879,
2010-04,137.254,
2010-07,137.417,
2010-10,137.754,
2011-01,137.000,
2011-04,138.165,
2011-07,138.612,
2011-10,140.773,
2012-01,141.685,
2012-04,145.389,
2012-07,145.230,
2012-10,145.641,
2013-01,145.936,
2013-04,146.380,
2013-07,144.502,
2013-10,144.465,
2014-01,143.806,
2014-04,143.706,
2014-07,145.046,
