"",BBEE1.D.I8.AAA.XZE021.A.AABAN.M00,BBEE1.D.I8.AAA.XZE021.A.AABAN.M00_FLAGS
1998-06-21,.,No value available
1998-06-22,.,No value available
1998-06-23,95.2655,
1998-06-24,95.1842,
1998-06-25,95.5450,
1998-06-26,95.5796,
1998-06-27,.,No value available
1998-06-28,.,No value available
1998-06-29,.,No value available
1998-06-30,.,No value available
1998-07-01,94.9058,
1998-07-02,94.7807,
1998-07-03,94.9068,
1998-07-04,.,No value available
1998-07-05,.,No value available
1998-07-06,.,No value available
1998-07-07,95.2343,
1998-07-08,95.0273,
1998-07-09,94.7770,
1998-07-10,95.2474,
1998-07-11,.,No value available
1998-07-12,.,No value available
1998-07-13,95.6309,
1998-07-14,95.6804,
1998-07-15,95.6416,
1998-07-16,95.9172,
1998-07-17,96.0539,
1998-07-18,.,No value available
1998-07-19,.,No value available
1998-07-20,96.1615,
1998-07-21,95.9387,
1998-07-22,96.1001,
1998-07-23,95.9767,
1998-07-24,96.1446,
1998-07-25,.,No value available
1998-07-26,.,No value available
1998-07-27,96.2238,
1998-07-28,96.3013,
1998-07-29,96.6454,
1998-07-30,96.8613,
1998-07-31,96.6431,
1998-08-01,.,No value available
1998-08-02,.,No value available
1998-08-03,96.6844,
1998-08-04,96.6830,
1998-08-05,.,No value available
1998-08-06,97.4043,
1998-08-07,97.4109,
1998-08-08,.,No value available
1998-08-09,.,No value available
1998-08-10,97.3052,
1998-08-11,97.3776,
1998-08-12,97.6623,
1998-08-13,97.2085,
1998-08-14,96.9418,
1998-08-15,.,No value available
1998-08-16,.,No value available
1998-08-17,.,No value available
1998-08-18,96.9330,
1998-08-19,96.6554,
1998-08-20,96.6677,
1998-08-21,97.0185,
1998-08-22,.,No value available
1998-08-23,.,No value available
1998-08-24,97.0482,
1998-08-25,97.0792,
1998-08-26,96.8634,
1998-08-27,96.8128,
1998-08-28,98.5024,
1998-08-29,.,No value available
1998-08-30,.,No value available
1998-08-31,98.7907,
1998-09-01,98.9444,
1998-09-02,98.7352,
1998-09-03,99.7330,
1998-09-04,99.6531,
1998-09-05,.,No value available
1998-09-06,.,No value available
1998-09-07,.,No value available
1998-09-08,99.9691,
1998-09-09,100.1259,
1998-09-10,101.3512,
1998-09-11,.,No value available
1998-09-12,.,No value available
1998-09-13,.,No value available
1998-09-14,100.8820,
1998-09-15,101.5466,
1998-09-16,101.3372,
1998-09-17,101.7402,
1998-09-18,.,No value available
1998-09-19,.,No value available
1998-09-20,.,No value available
1998-09-21,.,No value available
1998-09-22,.,No value available
1998-09-23,102.5797,
1998-09-24,103.0431,
1998-09-25,102.8652,
1998-09-26,.,No value available
1998-09-27,.,No value available
1998-09-28,102.4305,
1998-09-29,.,No value available
1998-09-30,.,No value available
1998-10-01,103.9456,
1998-10-02,104.6952,
1998-10-03,.,No value available
1998-10-04,.,No value available
1998-10-05,105.0309,
1998-10-06,104.6729,
1998-10-07,104.8402,
1998-10-08,103.9704,
1998-10-09,103.2881,
1998-10-10,.,No value available
1998-10-11,.,No value available
1998-10-12,.,No value available
1998-10-13,102.8195,
1998-10-14,102.9173,
1998-10-15,103.2675,
1998-10-16,103.7181,
1998-10-17,.,No value available
1998-10-18,.,No value available
1998-10-19,103.1994,
1998-10-20,102.8149,
1998-10-21,102.3554,
1998-10-22,.,No value available
1998-10-23,102.5930,
1998-10-24,.,No value available
1998-10-25,.,No value available
1998-10-26,102.2273,
1998-10-27,102.0860,
1998-10-28,102.1655,
1998-10-29,.,No value available
1998-10-30,101.8852,
1998-10-31,.,No value available
1998-11-01,.,No value available
1998-11-02,.,No value available
1998-11-03,101.5614,
1998-11-04,101.4370,
1998-11-05,101.9817,
1998-11-06,101.6738,
1998-11-07,.,No value available
1998-11-08,.,No value available
1998-11-09,100.9699,
1998-11-10,101.1691,
1998-11-11,.,No value available
1998-11-12,101.1658,
1998-11-13,101.1698,
1998-11-14,.,No value available
1998-11-15,.,No value available
1998-11-16,101.9700,
1998-11-17,.,No value available
1998-11-18,101.8114,
1998-11-19,101.2783,
1998-11-20,100.8610,
1998-11-21,.,No value available
1998-11-22,.,No value available
1998-11-23,100.0915,
1998-11-24,99.9832,
1998-11-25,100.2722,
1998-11-26,.,No value available
1998-11-27,100.3132,
1998-11-28,.,No value available
1998-11-29,.,No value available
1998-11-30,.,No value available
1998-12-01,101.3948,
1998-12-02,101.5734,
1998-12-03,101.2862,
1998-12-04,101.6444,
1998-12-05,.,No value available
1998-12-06,.,No value available
1998-12-07,101.8577,
1998-12-08,.,No value available
1998-12-09,102.0771,
1998-12-10,102.3533,
1998-12-11,102.6000,
1998-12-12,.,No value available
1998-12-13,.,No value available
1998-12-14,102.4903,
1998-12-15,102.3014,
1998-12-16,101.9990,
1998-12-17,.,No value available
1998-12-18,.,No value available
1998-12-19,.,No value available
1998-12-20,.,No value available
1998-12-21,101.6206,
1998-12-22,101.5646,
1998-12-23,101.5619,
1998-12-24,101.1163,
1998-12-25,.,No value available
1998-12-26,.,No value available
1998-12-27,.,No value available
1998-12-28,101.2690,
1998-12-29,101.4608,
1998-12-30,.,No value available
1998-12-31,101.6986,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,102.3009,
1999-01-05,101.9895,
1999-01-06,.,No value available
1999-01-07,100.9839,
1999-01-08,101.2103,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,100.4402,
1999-01-12,100.6040,
1999-01-13,102.3093,
1999-01-14,101.8203,
1999-01-15,101.8991,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,.,No value available
1999-01-19,101.6045,
1999-01-20,101.3089,
1999-01-21,101.4336,
1999-01-22,101.6204,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,101.7281,
1999-01-26,101.7312,
1999-01-27,101.4424,
1999-01-28,100.9079,
1999-01-29,100.8550,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,100.5035,
1999-02-02,100.1232,
1999-02-03,100.1284,
1999-02-04,99.8292,
1999-02-05,99.9414,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,99.8426,
1999-02-09,100.5328,
1999-02-10,100.7283,
1999-02-11,100.5130,
1999-02-12,100.0913,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,.,No value available
1999-02-16,99.8597,
1999-02-17,100.4100,
1999-02-18,100.4176,
1999-02-19,100.0129,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,99.2845,
1999-02-23,99.1457,
1999-02-24,99.7651,
1999-02-25,99.8634,
1999-02-26,99.7095,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,99.3116,
1999-03-02,.,No value available
1999-03-03,.,No value available
1999-03-04,98.9828,
1999-03-05,98.5984,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,98.9316,
1999-03-09,98.6681,
1999-03-10,99.0306,
1999-03-11,98.6058,
1999-03-12,98.7500,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,98.7874,
1999-03-16,98.5685,
1999-03-17,99.2441,
1999-03-18,99.3938,
1999-03-19,98.5680,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,98.3474,
1999-03-23,98.6375,
1999-03-24,98.7659,
1999-03-25,98.7191,
1999-03-26,98.1233,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,97.4865,
1999-03-30,97.5879,
1999-03-31,.,No value available
1999-04-01,.,No value available
1999-04-02,.,No value available
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,.,No value available
1999-04-06,98.1304,
1999-04-07,.,No value available
1999-04-08,98.4752,
1999-04-09,98.2560,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,98.6652,
1999-04-13,97.9640,
1999-04-14,97.8762,
1999-04-15,97.7751,
1999-04-16,97.0296,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,96.5644,
1999-04-20,96.6673,
1999-04-21,.,No value available
1999-04-22,96.4281,
1999-04-23,96.6479,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,96.3862,
1999-04-27,96.6518,
1999-04-28,96.7355,
1999-04-29,96.3161,
1999-04-30,96.2987,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,96.2348,
1999-05-04,96.1984,
1999-05-05,96.7382,
1999-05-06,97.5529,
1999-05-07,97.5052,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,97.2191,
1999-05-11,97.1830,
1999-05-12,96.7166,
1999-05-13,96.6707,
1999-05-14,97.0585,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,.,No value available
1999-05-18,97.1823,
1999-05-19,96.9860,
1999-05-20,97.1020,
1999-05-21,.,No value available
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,96.8139,
1999-05-25,97.0292,
1999-05-26,96.3736,
1999-05-27,95.9709,
1999-05-28,95.9115,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,.,No value available
1999-06-01,95.5958,
1999-06-02,95.1212,
1999-06-03,.,No value available
1999-06-04,94.6628,
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,94.4999,
1999-06-08,95.1127,
1999-06-09,95.4297,
1999-06-10,95.5323,
1999-06-11,95.4269,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,95.1642,
1999-06-15,95.0325,
1999-06-16,94.6612,
1999-06-17,94.5222,
1999-06-18,94.7950,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,94.7183,
1999-06-22,.,No value available
1999-06-23,94.3820,
1999-06-24,94.7086,
1999-06-25,95.4876,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,95.0903,
1999-06-29,.,No value available
1999-06-30,94.6641,
1999-07-01,94.0921,
1999-07-02,94.0264,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,.,No value available
1999-07-06,94.0307,
1999-07-07,94.1584,
1999-07-08,93.9430,
1999-07-09,94.1714,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,93.6694,
1999-07-13,94.0026,
1999-07-14,93.9043,
1999-07-15,94.0276,
1999-07-16,94.0107,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,93.6489,
1999-07-20,95.2628,
1999-07-21,95.8375,
1999-07-22,.,No value available
1999-07-23,95.8052,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,97.1737,
1999-07-27,96.7259,
1999-07-28,96.5310,
1999-07-29,96.8533,
1999-07-30,96.7334,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,96.5158,
1999-08-03,96.5520,
1999-08-04,97.2149,
1999-08-05,.,No value available
1999-08-06,97.3043,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,97.1412,
1999-08-10,97.3881,
1999-08-11,96.9475,
1999-08-12,96.7844,
1999-08-13,96.8377,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,96.1142,
1999-08-17,95.9366,
1999-08-18,95.6806,
1999-08-19,95.6886,
1999-08-20,96.4345,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,96.1272,
1999-08-24,95.7115,
1999-08-25,95.2096,
1999-08-26,95.3597,
1999-08-27,95.3938,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,95.3845,
1999-08-31,95.9053,
1999-09-01,96.1732,
1999-09-02,96.6344,
1999-09-03,96.7833,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,.,No value available
1999-09-07,96.1863,
1999-09-08,96.3263,
1999-09-09,95.9314,
1999-09-10,.,No value available
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,94.0342,
1999-09-14,94.3781,
1999-09-15,94.2243,
1999-09-16,94.2192,
1999-09-17,94.5124,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,.,No value available
1999-09-21,94.2331,
1999-09-22,94.9638,
1999-09-23,94.4707,
1999-09-24,94.7447,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,94.3051,
1999-09-28,94.9302,
1999-09-29,95.6118,
1999-09-30,96.1844,
1999-10-01,96.5525,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,96.4731,
1999-10-05,96.2694,
1999-10-06,96.6934,
1999-10-07,96.6759,
1999-10-08,96.2409,
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,.,No value available
1999-10-12,.,No value available
1999-10-13,97.1945,
1999-10-14,97.0408,
1999-10-15,97.6274,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,97.5907,
1999-10-19,97.2627,
1999-10-20,96.9657,
1999-10-21,96.9871,
1999-10-22,96.5539,
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,96.1573,
1999-10-26,95.7639,
1999-10-27,95.2665,
1999-10-28,95.2819,
1999-10-29,94.8541,
1999-10-30,.,No value available
1999-10-31,.,No value available
1999-11-01,.,No value available
1999-11-02,95.1031,
1999-11-03,94.8816,
1999-11-04,95.0784,
1999-11-05,94.6776,
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,94.6434,
1999-11-09,94.6730,
1999-11-10,94.6370,
1999-11-11,.,No value available
1999-11-12,93.9804,
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,93.8920,
1999-11-16,94.1652,
1999-11-17,94.6181,
1999-11-18,94.3620,
1999-11-19,93.8848,
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,93.9413,
1999-11-23,93.8324,
1999-11-24,93.1749,
1999-11-25,.,No value available
1999-11-26,92.5131,
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,92.3095,
1999-11-30,92.4569,
1999-12-01,92.3879,
1999-12-02,92.1642,
1999-12-03,91.8197,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,92.9330,
1999-12-07,93.1408,
1999-12-08,.,No value available
1999-12-09,92.5774,
1999-12-10,92.3615,
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,92.2774,
1999-12-14,91.8544,
1999-12-15,91.8355,
1999-12-16,92.5599,
1999-12-17,92.4600,
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,92.1350,
1999-12-21,92.0799,
1999-12-22,91.8480,
1999-12-23,92.0208,
1999-12-24,.,No value available
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,92.3543,
1999-12-28,92.1049,
1999-12-29,91.8992,
1999-12-30,91.6690,
1999-12-31,.,No value available
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,91.9898,
2000-01-04,93.3517,
2000-01-05,93.8984,
2000-01-06,.,No value available
2000-01-07,93.4183,
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,93.0347,
2000-01-11,93.4631,
2000-01-12,93.6452,
2000-01-13,93.4782,
2000-01-14,93.0033,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,.,No value available
2000-01-18,92.0961,
2000-01-19,92.2592,
2000-01-20,91.9802,
2000-01-21,91.8882,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,91.4245,
2000-01-25,91.4418,
2000-01-26,91.5539,
2000-01-27,91.2408,
2000-01-28,90.4734,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,90.3767,
2000-02-01,89.9096,
2000-02-02,90.1206,
2000-02-03,90.3018,
2000-02-04,91.0150,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,90.5005,
2000-02-08,91.3905,
2000-02-09,91.4633,
2000-02-10,90.9981,
2000-02-11,90.8958,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,91.1761,
2000-02-15,90.6635,
2000-02-16,90.7590,
2000-02-17,91.6008,
2000-02-18,91.2437,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,.,No value available
2000-02-22,92.4963,
2000-02-23,92.8425,
2000-02-24,91.7166,
2000-02-25,91.0750,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,89.7123,
2000-02-29,90.3577,
2000-03-01,89.9236,
2000-03-02,90.1902,
2000-03-03,89.8175,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,89.6417,
2000-03-07,89.3668,
2000-03-08,88.9037,
2000-03-09,89.3780,
2000-03-10,89.3120,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,89.9899,
2000-03-14,89.3564,
2000-03-15,89.6298,
2000-03-16,89.7700,
2000-03-17,89.8297,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,90.2824,
2000-03-21,90.1032,
2000-03-22,89.4023,
2000-03-23,89.6086,
2000-03-24,89.9429,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,89.8034,
2000-03-28,89.3872,
2000-03-29,88.7519,
2000-03-30,88.6253,
2000-03-31,88.4872,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,88.7016,
2000-04-04,88.5966,
2000-04-05,89.6638,
2000-04-06,89.3043,
2000-04-07,88.8903,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,89.0923,
2000-04-11,89.1973,
2000-04-12,88.9268,
2000-04-13,88.6837,
2000-04-14,88.7813,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,89.0203,
2000-04-18,88.4891,
2000-04-19,88.2412,
2000-04-20,87.6565,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,87.1778,
2000-04-26,86.4258,
2000-04-27,86.3080,
2000-04-28,85.8704,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,86.2157,
2000-05-03,84.7051,
2000-05-04,85.2691,
2000-05-05,85.5285,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,85.4091,
2000-05-09,85.6451,
2000-05-10,86.7762,
2000-05-11,86.9148,
2000-05-12,86.3494,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,87.3577,
2000-05-16,86.7965,
2000-05-17,85.8387,
2000-05-18,86.1273,
2000-05-19,85.4402,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,86.4055,
2000-05-23,87.3619,
2000-05-24,87.4228,
2000-05-25,86.6020,
2000-05-26,87.8247,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,.,No value available
2000-05-30,89.0938,
2000-05-31,88.7215,
2000-06-01,88.9892,
2000-06-02,89.1221,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,89.3326,
2000-06-06,89.7002,
2000-06-07,90.0809,
2000-06-08,90.9835,
2000-06-09,90.0007,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,90.0658,
2000-06-13,90.4118,
2000-06-14,90.8635,
2000-06-15,89.9809,
2000-06-16,90.3099,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,.,No value available
2000-06-20,90.0305,
2000-06-21,89.5982,
2000-06-22,89.0700,
2000-06-23,89.0576,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,.,No value available
2000-06-27,89.2032,
2000-06-28,89.2076,
2000-06-29,89.7022,
2000-06-30,90.1769,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,89.7207,
2000-07-04,.,No value available
2000-07-05,90.1480,
2000-07-06,90.2558,
2000-07-07,89.8218,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,89.9912,
2000-07-11,90.0441,
2000-07-12,89.8695,
2000-07-13,88.8574,
2000-07-14,88.9215,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,89.1436,
2000-07-18,89.0029,
2000-07-19,87.9777,
2000-07-20,88.0620,
2000-07-21,88.8874,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,88.7067,
2000-07-25,89.3362,
2000-07-26,89.1867,
2000-07-27,89.1755,
2000-07-28,88.4420,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,88.4108,
2000-08-01,88.5104,
2000-08-02,87.6533,
2000-08-03,86.7425,
2000-08-04,86.6001,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,86.9824,
2000-08-08,86.6206,
2000-08-09,86.0949,
2000-08-10,86.5501,
2000-08-11,87.2645,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,86.3938,
2000-08-15,.,No value available
2000-08-16,86.9377,
2000-08-17,87.4183,
2000-08-18,87.3797,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,86.6112,
2000-08-22,86.2800,
2000-08-23,85.8888,
2000-08-24,86.5885,
2000-08-25,86.7133,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,86.5822,
2000-08-29,86.4140,
2000-08-30,86.1465,
2000-08-31,86.0396,
2000-09-01,86.0218,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,.,No value available
2000-09-05,85.8640,
2000-09-06,85.3998,
2000-09-07,84.4425,
2000-09-08,85.0279,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,84.1223,
2000-09-12,84.3708,
2000-09-13,84.7748,
2000-09-14,85.0148,
2000-09-15,84.5537,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,.,No value available
2000-09-19,.,No value available
2000-09-20,83.3913,
2000-09-21,83.7351,
2000-09-22,86.2552,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,85.4086,
2000-09-26,85.2866,
2000-09-27,86.0046,
2000-09-28,85.7881,
2000-09-29,85.3065,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,85.6229,
2000-10-03,85.4426,
2000-10-04,85.3122,
2000-10-05,85.6836,
2000-10-06,85.1558,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,.,No value available
2000-10-10,85.2037,
2000-10-11,85.1691,
2000-10-12,84.6363,
2000-10-13,84.4633,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,83.8493,
2000-10-17,83.8049,
2000-10-18,83.9664,
2000-10-19,83.0756,
2000-10-20,83.3919,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,82.7396,
2000-10-24,82.7273,
2000-10-25,82.3418,
2000-10-26,82.2220,
2000-10-27,82.6697,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,83.6786,
2000-10-31,83.3161,
2000-11-01,.,No value available
2000-11-02,84.9114,
2000-11-03,85.4923,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,85.0494,
2000-11-07,84.7136,
2000-11-08,84.5360,
2000-11-09,84.3936,
2000-11-10,85.3650,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,85.0074,
2000-11-14,84.7318,
2000-11-15,84.9338,
2000-11-16,84.8207,
2000-11-17,84.6038,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,84.2729,
2000-11-21,84.2840,
2000-11-22,83.9757,
2000-11-23,.,No value available
2000-11-24,84.2350,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,83.9337,
2000-11-28,84.9611,
2000-11-29,85.5924,
2000-11-30,86.0853,
2000-12-01,86.3655,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,87.4331,
2000-12-05,86.6617,
2000-12-06,86.8701,
2000-12-07,87.6741,
2000-12-08,.,No value available
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,86.3842,
2000-12-12,86.3246,
2000-12-13,86.2054,
2000-12-14,86.7182,
2000-12-15,87.6844,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,87.4592,
2000-12-19,87.1758,
2000-12-20,88.4127,
2000-12-21,88.9474,
2000-12-22,89.7296,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,90.3842,
2000-12-28,90.2868,
2000-12-29,90.4400,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,91.3375,
2001-01-03,92.0037,
2001-01-04,91.5033,
2001-01-05,92.2320,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,91.9010,
2001-01-09,91.3204,
2001-01-10,91.4070,
2001-01-11,92.3043,
2001-01-12,92.5883,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,.,No value available
2001-01-16,91.8652,
2001-01-17,91.6306,
2001-01-18,91.8017,
2001-01-19,91.5547,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,90.9605,
2001-01-23,91.6524,
2001-01-24,90.8931,
2001-01-25,89.8752,
2001-01-26,90.3679,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,90.0413,
2001-01-30,90.0223,
2001-01-31,90.6876,
2001-02-01,91.3779,
2001-02-02,91.3369,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,91.5766,
2001-02-06,90.8885,
2001-02-07,91.0522,
2001-02-08,90.3160,
2001-02-09,90.5378,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,90.9779,
2001-02-13,90.8179,
2001-02-14,90.0459,
2001-02-15,89.3896,
2001-02-16,89.4941,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,.,No value available
2001-02-20,89.3564,
2001-02-21,89.9703,
2001-02-22,90.4309,
2001-02-23,90.5004,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,90.5410,
2001-02-27,90.9555,
2001-02-28,91.6174,
2001-03-01,91.6981,
2001-03-02,92.2413,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,91.8109,
2001-03-06,91.4762,
2001-03-07,91.9935,
2001-03-08,92.0147,
2001-03-09,92.3073,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,91.8427,
2001-03-13,91.4959,
2001-03-14,91.3944,
2001-03-15,90.8216,
2001-03-16,90.1439,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,90.5295,
2001-03-20,90.6384,
2001-03-21,90.5231,
2001-03-22,89.9691,
2001-03-23,90.0513,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,90.0203,
2001-03-27,90.0685,
2001-03-28,89.3639,
2001-03-29,89.4633,
2001-03-30,89.5299,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,89.3995,
2001-04-03,90.1832,
2001-04-04,91.5968,
2001-04-05,91.3421,
2001-04-06,90.7271,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,91.2072,
2001-04-10,90.6638,
2001-04-11,89.8720,
2001-04-12,89.7448,
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,89.3358,
2001-04-18,89.3457,
2001-04-19,89.4837,
2001-04-20,90.8530,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,91.0059,
2001-04-24,90.8175,
2001-04-25,90.6741,
2001-04-26,91.1907,
2001-04-27,91.1983,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,89.9967,
2001-05-01,.,No value available
2001-05-02,90.3329,
2001-05-03,90.0803,
2001-05-04,90.1825,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,89.9631,
2001-05-08,89.6332,
2001-05-09,89.4565,
2001-05-10,89.7103,
2001-05-11,88.9884,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,88.8784,
2001-05-15,89.1492,
2001-05-16,89.5936,
2001-05-17,89.2187,
2001-05-18,88.9169,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,.,No value available
2001-05-22,88.1507,
2001-05-23,87.3420,
2001-05-24,87.5021,
2001-05-25,87.3732,
2001-05-26,.,No value available
