"",BBK01.OEBB10L,BBK01.OEBB10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:18,
2002-01,36.401,
2002-04,30.750,
2002-07,31.327,
2002-10,28.359,
2003-01,36.565,
2003-04,32.884,
2003-07,35.706,
2003-10,32.624,
2004-01,31.686,
2004-04,26.755,
2004-07,27.149,
2004-10,28.914,
2005-01,34.044,
2005-04,36.181,
2005-07,47.470,
2005-10,38.979,
2006-01,46.319,
2006-04,51.697,
2006-07,52.451,
2006-10,33.452,
2007-01,47.710,
2007-04,50.670,
2007-07,45.826,
2007-10,41.988,
2008-01,54.086,
2008-04,50.052,
2008-07,49.396,
2008-10,56.294,
2009-01,67.103,
2009-04,59.625,
2009-07,52.983,
2009-10,45.031,
2010-01,34.808,
2010-04,41.299,
2010-07,30.426,
2010-10,32.631,
2011-01,38.143,
2011-04,41.457,
2011-07,39.488,
2011-10,41.311,
2012-01,39.862,
2012-04,37.087,
2012-07,36.769,
2012-10,37.913,
2013-01,44.463,
2013-04,52.848,
2013-07,18.332,
2013-10,17.144,
2014-01,17.527,
2014-04,18.129,
2014-07,19.098,
