"",BBK01.CEF90J,BBK01.CEF90J_FLAGS
"",Non-MMF investment fund shares or units  debtor: Total                                  creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:16,
1999-01,248.6,
1999-04,262.1,
1999-07,264.6,
1999-10,296.5,
2000-01,328.6,
2000-04,334.0,
2000-07,352.8,
2000-10,344.8,
2001-01,339.1,
2001-04,351.3,
2001-07,324.1,
2001-10,357.5,
2002-01,368.7,
2002-04,350.4,
2002-07,339.6,
2002-10,344.3,
2003-01,345.1,
2003-04,368.6,
2003-07,372.9,
2003-10,378.4,
2004-01,385.0,
2004-04,384.5,
2004-07,386.9,
2004-10,383.1,
2005-01,396.1,
2005-04,412.4,
2005-07,431.3,
2005-10,437.6,
2006-01,356.4,
2006-04,337.4,
2006-07,345.5,
2006-10,354.8,
2007-01,354.2,
2007-04,368.3,
2007-07,370.6,
2007-10,372.9,
2008-01,349.9,
2008-04,356.7,
2008-07,344.9,
2008-10,310.3,
2009-01,299.3,
2009-04,317.3,
2009-07,339.8,
2009-10,349.5,
2010-01,359.0,
2010-04,355.3,
2010-07,359.8,
2010-10,368.4,
2011-01,358.8,
2011-04,355.0,
2011-07,325.8,
2011-10,332.0,
2012-01,342.8,
2012-04,335.0,
2012-07,345.8,
2012-10,349.5,
2013-01,383.7,
2013-04,377.7,
2013-07,385.1,
2013-10,393.8,
2014-01,401.0,
2014-04,416.5,
2014-07,427.7,
