"",BBK01.OEBL05L,BBK01.OEBL05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:28,
2002-01,0.540,
2002-04,0.554,
2002-07,0.604,
2002-10,0.748,
2003-01,0.797,
2003-04,0.752,
2003-07,0.830,
2003-10,0.827,
2004-01,0.652,
2004-04,0.684,
2004-07,0.711,
2004-10,0.755,
2005-01,0.914,
2005-04,0.973,
2005-07,0.997,
2005-10,0.917,
2006-01,0.893,
2006-04,0.896,
2006-07,0.955,
2006-10,0.973,
2007-01,1.102,
2007-04,1.132,
2007-07,1.232,
2007-10,1.253,
2008-01,1.495,
2008-04,1.574,
2008-07,1.672,
2008-10,1.762,
2009-01,2.254,
2009-04,2.711,
2009-07,3.040,
2009-10,2.905,
2010-01,3.086,
2010-04,3.179,
2010-07,3.321,
2010-10,3.368,
2011-01,3.434,
2011-04,3.456,
2011-07,3.533,
2011-10,3.658,
2012-01,4.081,
2012-04,4.406,
2012-07,4.794,
2012-10,5.220,
2013-01,5.211,
2013-04,5.338,
2013-07,5.517,
2013-10,5.638,
2014-01,6.027,
2014-04,6.178,
2014-07,6.448,
