"",BBK01.OEAC53T,BBK01.OEAC53T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:23,
2002-01,0.098,
2002-04,0.096,
2002-07,0.096,
2002-10,0.093,
2003-01,0.094,
2003-04,0.092,
2003-07,0.094,
2003-10,0.095,
2004-01,0.095,
2004-04,0.096,
2004-07,0.096,
2004-10,0.096,
2005-01,0.096,
2005-04,0.089,
2005-07,0.089,
2005-10,0.091,
2006-01,0.102,
2006-04,0.111,
2006-07,0.092,
2006-10,0.087,
2007-01,0.086,
2007-04,0.089,
2007-07,0.088,
2007-10,0.092,
2008-01,0.104,
2008-04,0.105,
2008-07,0.120,
2008-10,0.118,
2009-01,0.127,
2009-04,0.149,
2009-07,0.149,
2009-10,0.146,
2010-01,0.164,
2010-04,0.190,
2010-07,0.193,
2010-10,0.185,
2011-01,0.142,
2011-04,0.137,
2011-07,0.144,
2011-10,0.164,
2012-01,0.149,
2012-04,0.152,
2012-07,0.156,
2012-10,0.191,
2013-01,0.190,
2013-04,0.214,
2013-07,0.215,
2013-10,0.214,
2014-01,0.227,
2014-04,0.233,
2014-07,0.242,
