"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.IT.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.IT.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Italy / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:27,
2009-09,25471,
2009-10,26391,
2009-11,26487,
2009-12,27382,
2010-01,27760,
2010-02,28008,
2010-03,27887,
2010-04,26356,
2010-05,26739,
2010-06,26498,
2010-07,28147,
2010-08,28643,
2010-09,28807,
2010-10,29388,
2010-11,26931,
2010-12,25884,
2011-01,25928,
2011-02,25850,
2011-03,26168,
2011-04,26475,
2011-05,25896,
2011-06,24588,
2011-07,21852,
2011-08,20737,
2011-09,18988,
2011-10,17866,
2011-11,16687,
2011-12,17823,
2012-01,18936,
2012-02,20829,
2012-03,20748,
2012-04,20633,
2012-05,20353,
2012-06,20286,
2012-07,19849,
2012-08,20747,
2012-09,21147,
2012-10,22149,
2012-11,25086,
2012-12,26316,
2013-01,28208,
2013-02,27946,
2013-03,28633,
2013-04,30264,
2013-05,29994,
2013-06,29324,
2013-07,29931,
2013-08,30019,
2013-09,30146,
2013-10,28815,
2013-11,28312,
2013-12,28337,
2014-01,29523,
2014-02,29669,
2014-03,30143,
2014-04,30536,
2014-05,30758,
2014-06,29577,
2014-07,29527,
2014-08,30146,
2014-09,30516,
2014-10,30787,
2014-11,32293,
