"",BBFN1.M.DE.N.1.A.TW.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TW.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from trade credits / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:17,
1994-07,0.650,
1994-08,0.669,
1994-09,0.708,
1994-10,0.701,
1994-11,0.738,
1994-12,0.695,
1995-01,0.730,
1995-02,0.783,
1995-03,0.858,
1995-04,0.880,
1995-05,0.864,
1995-06,0.683,
1995-07,1.008,
1995-08,0.904,
1995-09,0.669,
1995-10,0.624,
1995-11,0.597,
1995-12,0.698,
1996-01,0.681,
1996-02,0.709,
1996-03,0.687,
1996-04,0.672,
1996-05,0.707,
1996-06,0.835,
1996-07,0.853,
1996-08,0.786,
1996-09,0.782,
1996-10,0.895,
1996-11,0.819,
1996-12,0.741,
1997-01,0.707,
1997-02,0.751,
1997-03,0.841,
1997-04,0.877,
1997-05,0.894,
1997-06,1.074,
1997-07,0.918,
1997-08,0.954,
1997-09,1.048,
1997-10,1.027,
1997-11,0.973,
1997-12,1.607,
1998-01,0.961,
1998-02,0.990,
1998-03,1.022,
1998-04,1.105,
1998-05,1.081,
1998-06,1.039,
1998-07,1.021,
1998-08,0.980,
1998-09,1.076,
1998-10,1.000,
1998-11,0.962,
1998-12,0.896,
1999-01,0.887,
1999-02,0.950,
1999-03,0.976,
1999-04,0.943,
1999-05,0.963,
1999-06,1.063,
1999-07,1.017,
1999-08,1.034,
1999-09,1.176,
1999-10,1.095,
1999-11,1.158,
1999-12,1.133,
2000-01,1.086,
2000-02,1.135,
2000-03,1.091,
2000-04,1.131,
2000-05,1.143,
2000-06,1.209,
2000-07,1.231,
2000-08,1.250,
2000-09,1.306,
2000-10,1.272,
2000-11,1.171,
2000-12,1.067,
2001-01,1.074,
2001-02,1.066,
2001-03,1.064,
2001-04,1.027,
2001-05,1.005,
2001-06,1.012,
2001-07,0.909,
2001-08,0.922,
2001-09,1.037,
2001-10,0.992,
2001-11,0.982,
2001-12,0.982,
2002-01,0.899,
2002-02,0.907,
2002-03,0.977,
2002-04,1.070,
2002-05,1.015,
2002-06,1.015,
2002-07,0.918,
2002-08,0.956,
2002-09,0.995,
2002-10,0.950,
2002-11,0.954,
2002-12,0.972,
2003-01,1.022,
2003-02,0.851,
2003-03,0.819,
2003-04,0.804,
2003-05,0.729,
2003-06,0.720,
2003-07,0.782,
2003-08,0.779,
2003-09,0.744,
2003-10,0.710,
2003-11,0.711,
2003-12,0.628,
2004-01,0.653,
2004-02,0.658,
2004-03,0.647,
2004-04,0.659,
2004-05,0.663,
2004-06,0.632,
2004-07,0.661,
2004-08,0.638,
2004-09,0.732,
2004-10,0.711,
2004-11,0.657,
2004-12,0.664,
2005-01,0.685,
2005-02,0.641,
2005-03,0.665,
2005-04,0.698,
2005-05,0.708,
2005-06,0.684,
2005-07,0.761,
2005-08,0.767,
2005-09,0.807,
2005-10,0.804,
2005-11,0.786,
2005-12,0.726,
2006-01,0.766,
2006-02,0.755,
2006-03,0.763,
2006-04,0.760,
2006-05,0.831,
2006-06,0.823,
2006-07,0.720,
2006-08,0.752,
2006-09,0.812,
2006-10,0.804,
2006-11,0.784,
2006-12,0.706,
2007-01,0.704,
2007-02,0.749,
2007-03,0.706,
2007-04,0.796,
2007-05,0.747,
2007-06,0.783,
2007-07,0.761,
2007-08,0.767,
2007-09,0.870,
2007-10,0.892,
2007-11,0.889,
2007-12,0.845,
2008-01,0.854,
2008-02,0.797,
2008-03,0.758,
2008-04,0.716,
2008-05,0.680,
2008-06,0.741,
2008-07,0.782,
2008-08,0.726,
2008-09,0.752,
2008-10,0.721,
2008-11,0.648,
2008-12,0.628,
2009-01,0.532,
2009-02,0.505,
2009-03,0.517,
2009-04,0.512,
2009-05,0.526,
2009-06,0.562,
2009-07,0.560,
2009-08,0.562,
2009-09,0.641,
2009-10,0.622,
2009-11,0.594,
2009-12,0.534,
2010-01,0.556,
2010-02,0.651,
2010-03,0.684,
2010-04,0.698,
2010-05,0.703,
2010-06,0.719,
2010-07,0.727,
2010-08,0.682,
2010-09,0.742,
2010-10,0.747,
2010-11,0.720,
2010-12,0.616,
2011-01,0.672,
2011-02,0.679,
2011-03,0.728,
2011-04,0.798,
2011-05,0.751,
2011-06,0.688,
2011-07,0.733,
2011-08,0.704,
2011-09,0.763,
2011-10,0.769,
2011-11,0.765,
2011-12,0.674,
2012-01,0.719,
2012-02,0.735,
2012-03,0.788,
2012-04,0.742,
2012-05,0.780,
2012-06,0.768,
2012-07,0.792,
2012-08,0.725,
2012-09,0.831,
2012-10,0.802,
2012-11,0.840,
2012-12,0.838,
2013-01,0.720,
2013-02,0.744,
2013-03,0.797,
2013-04,0.756,
2013-05,0.718,
2013-06,0.706,
2013-07,0.749,
2013-08,0.766,
2013-09,0.806,
2013-10,0.807,
2013-11,0.835,
2013-12,0.782,
2014-01,0.787,
2014-02,0.790,
2014-03,0.796,
2014-04,0.799,
2014-05,0.790,
2014-06,0.868,
2014-07,0.853,
2014-08,0.843,
2014-09,0.939,
2014-10,0.973,
2014-11,0.943,
2014-12,0.877,
