"",BBK01.OEYJ05P,BBK01.OEYJ05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:58,
2002-01,1.422,
2002-04,1.411,
2002-07,1.404,
2002-10,1.443,
2003-01,1.522,
2003-04,1.548,
2003-07,1.617,
2003-10,1.714,
2004-01,1.725,
2004-04,1.762,
2004-07,1.852,
2004-10,1.998,
2005-01,2.146,
2005-04,2.204,
2005-07,2.262,
2005-10,2.285,
2006-01,2.315,
2006-04,2.276,
2006-07,2.352,
2006-10,2.358,
2007-01,2.327,
2007-04,2.340,
2007-07,2.338,
2007-10,2.286,
2008-01,2.266,
2008-04,2.231,
2008-07,2.214,
2008-10,2.179,
2009-01,2.129,
2009-04,2.093,
2009-07,2.038,
2009-10,1.983,
2010-01,1.951,
2010-04,1.930,
2010-07,1.889,
2010-10,1.866,
2011-01,1.927,
2011-04,1.881,
2011-07,2.006,
2011-10,2.019,
2012-01,2.067,
2012-04,2.063,
2012-07,2.098,
2012-10,2.199,
2013-01,2.225,
2013-04,2.170,
2013-07,2.145,
2013-10,2.083,
2014-01,2.083,
2014-04,2.196,
2014-07,2.175,
