"",BBK01.CEFENK,BBK01.CEFENK_FLAGS
"",short-term loans  debtor: Rest of the world                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:17,
1999-01,18.0,
1999-04,19.1,
1999-07,19.6,
1999-10,20.5,
2000-01,24.5,
2000-04,24.8,
2000-07,25.6,
2000-10,26.3,
2001-01,26.8,
2001-04,27.9,
2001-07,27.7,
2001-10,29.7,
2002-01,30.7,
2002-04,32.4,
2002-07,36.1,
2002-10,36.7,
2003-01,38.9,
2003-04,38.7,
2003-07,39.0,
2003-10,40.4,
2004-01,42.4,
2004-04,43.0,
2004-07,43.2,
2004-10,42.7,
2005-01,43.5,
2005-04,44.7,
2005-07,50.2,
2005-10,53.0,
2006-01,50.4,
2006-04,48.9,
2006-07,44.3,
2006-10,42.0,
2007-01,30.4,
2007-04,28.6,
2007-07,26.7,
2007-10,25.4,
2008-01,25.3,
2008-04,24.8,
2008-07,24.9,
2008-10,24.3,
2009-01,25.4,
2009-04,25.4,
2009-07,25.4,
2009-10,25.0,
2010-01,26.0,
2010-04,26.5,
2010-07,27.1,
2010-10,27.7,
2011-01,28.3,
2011-04,28.4,
2011-07,29.1,
2011-10,30.0,
2012-01,30.5,
2012-04,31.7,
2012-07,32.4,
2012-10,32.1,
2013-01,32.4,
2013-04,31.7,
2013-07,30.9,
2013-10,30.3,
2014-01,30.5,
2014-04,30.7,
2014-07,30.3,
