"",BBFN1.M.DE.N.1.L.CN.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CN.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:10,
1994-07,0.840,
1994-08,0.878,
1994-09,0.875,
1994-10,0.953,
1994-11,1.068,
1994-12,1.075,
1995-01,1.091,
1995-02,1.174,
1995-03,1.220,
1995-04,1.269,
1995-05,1.325,
1995-06,1.356,
1995-07,1.354,
1995-08,1.363,
1995-09,1.281,
1995-10,1.239,
1995-11,1.245,
1995-12,1.239,
1996-01,1.309,
1996-02,1.320,
1996-03,1.293,
1996-04,1.310,
1996-05,1.170,
1996-06,1.182,
1996-07,1.186,
1996-08,1.206,
1996-09,1.091,
1996-10,1.088,
1996-11,1.070,
1996-12,1.090,
1997-01,1.088,
1997-02,1.077,
1997-03,1.152,
1997-04,1.196,
1997-05,1.216,
1997-06,1.235,
1997-07,1.339,
1997-08,1.283,
1997-09,1.261,
1997-10,1.274,
1997-11,1.359,
1997-12,1.359,
1998-01,1.331,
1998-02,1.384,
1998-03,1.305,
1998-04,1.439,
1998-05,1.378,
1998-06,1.271,
1998-07,1.411,
1998-08,1.461,
1998-09,1.445,
1998-10,1.377,
1998-11,1.420,
1998-12,1.356,
1999-01,1.496,
1999-02,1.487,
1999-03,1.449,
1999-04,1.269,
1999-05,1.357,
1999-06,1.343,
1999-07,1.392,
1999-08,1.424,
1999-09,1.284,
1999-10,1.372,
1999-11,1.357,
1999-12,1.391,
2000-01,1.460,
2000-02,1.427,
2000-03,1.382,
2000-04,1.414,
2000-05,1.456,
2000-06,1.477,
2000-07,1.454,
2000-08,1.456,
2000-09,1.390,
2000-10,1.440,
2000-11,1.479,
2000-12,1.557,
2001-01,1.513,
2001-02,1.553,
2001-03,1.519,
2001-04,1.588,
2001-05,1.534,
2001-06,1.730,
2001-07,1.589,
2001-08,1.691,
2001-09,1.967,
2001-10,1.918,
2001-11,1.946,
2001-12,1.832,
2002-01,1.733,
2002-02,1.723,
2002-03,1.734,
2002-04,1.767,
2002-05,1.904,
2002-06,1.807,
2002-07,1.874,
2002-08,1.857,
2002-09,2.020,
2002-10,2.131,
2002-11,2.152,
2002-12,2.069,
2003-01,2.113,
2003-02,1.920,
2003-03,2.029,
2003-04,2.125,
2003-05,2.202,
2003-06,2.282,
2003-07,2.361,
2003-08,2.475,
2003-09,2.481,
2003-10,2.494,
2003-11,2.594,
2003-12,2.780,
2004-01,2.692,
2004-02,2.744,
2004-03,2.980,
2004-04,3.048,
2004-05,3.156,
2004-06,3.238,
2004-07,3.317,
2004-08,3.327,
2004-09,3.345,
2004-10,3.540,
2004-11,3.581,
2004-12,3.602,
2005-01,3.483,
2005-02,3.468,
2005-03,3.607,
2005-04,3.747,
2005-05,3.826,
2005-06,3.654,
2005-07,3.784,
2005-08,3.716,
2005-09,3.507,
2005-10,3.666,
2005-11,3.771,
2005-12,3.605,
2006-01,3.637,
2006-02,3.852,
2006-03,3.921,
2006-04,3.922,
2006-05,3.969,
2006-06,4.108,
2006-07,4.393,
2006-08,4.569,
2006-09,4.616,
2006-10,4.756,
2006-11,4.624,
2006-12,4.869,
2007-01,4.702,
2007-02,4.599,
2007-03,4.774,
2007-04,5.045,
2007-05,4.740,
2007-06,5.119,
2007-07,5.278,
2007-08,5.373,
2007-09,5.452,
2007-10,5.533,
2007-11,5.474,
2007-12,5.537,
2008-01,5.342,
2008-02,5.252,
2008-03,5.549,
2008-04,5.420,
2008-05,5.451,
2008-06,5.640,
2008-07,5.870,
2008-08,5.883,
2008-09,6.076,
2008-10,6.142,
2008-11,6.172,
2008-12,6.218,
2009-01,6.025,
2009-02,5.947,
2009-03,6.006,
2009-04,5.942,
2009-05,5.971,
2009-06,5.993,
2009-07,6.076,
2009-08,6.096,
2009-09,5.573,
2009-10,5.602,
2009-11,5.599,
2009-12,5.734,
2010-01,5.721,
2010-02,5.708,
2010-03,5.834,
2010-04,5.924,
2010-05,6.160,
2010-06,6.138,
2010-07,6.289,
2010-08,6.584,
2010-09,6.221,
2010-10,6.472,
2010-11,6.463,
2010-12,6.824,
2011-01,6.934,
2011-02,6.919,
2011-03,7.041,
2011-04,7.261,
2011-05,7.349,
2011-06,7.250,
2011-07,7.632,
2011-08,7.621,
2011-09,7.660,
2011-10,7.419,
2011-11,7.497,
2011-12,7.970,
2012-01,7.558,
2012-02,7.844,
2012-03,7.985,
2012-04,8.102,
2012-05,8.351,
2012-06,8.393,
2012-07,8.469,
2012-08,8.528,
2012-09,8.572,
2012-10,8.304,
2012-11,8.456,
2012-12,8.406,
2013-01,8.358,
2013-02,8.222,
2013-03,8.345,
2013-04,8.398,
2013-05,8.475,
2013-06,8.470,
2013-07,8.154,
2013-08,8.089,
2013-09,8.420,
2013-10,8.393,
2013-11,8.199,
2013-12,8.267,
2014-01,8.037,
2014-02,8.164,
2014-03,8.135,
2014-04,8.233,
2014-05,8.455,
2014-06,8.739,
2014-07,8.832,
2014-08,9.168,
2014-09,9.398,
2014-10,9.252,
2014-11,9.041,
2014-12,9.203,
"",General: Excluding Hong Kong.,
