"",BBK01.OECB08J,BBK01.OECB08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:10,
2002-01,1.570,
2002-04,1.543,
2002-07,1.520,
2002-10,1.518,
2003-01,1.497,
2003-04,1.483,
2003-07,1.476,
2003-10,1.459,
2004-01,1.437,
2004-04,1.429,
2004-07,1.399,
2004-10,1.380,
2005-01,2.112,
2005-04,2.099,
2005-07,2.060,
2005-10,2.049,
2006-01,2.037,
2006-04,2.009,
2006-07,1.924,
2006-10,1.791,
2007-01,1.668,
2007-04,1.687,
2007-07,1.715,
2007-10,1.559,
2008-01,1.560,
2008-04,1.582,
2008-07,1.594,
2008-10,1.604,
2009-01,1.599,
2009-04,1.616,
2009-07,1.597,
2009-10,1.591,
2010-01,1.578,
2010-04,1.564,
2010-07,1.563,
2010-10,1.550,
2011-01,1.545,
2011-04,1.530,
2011-07,1.527,
2011-10,1.546,
2012-01,1.535,
2012-04,2.353,
2012-07,2.375,
2012-10,1.772,
2013-01,1.800,
2013-04,1.791,
2013-07,1.805,
2013-10,1.825,
2014-01,1.792,
2014-04,1.790,
2014-07,1.792,
