"",BBFB1.Q.N.DE.A1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:12,
1991-01,1696.380,
1991-04,880.003,
1991-07,-2102.082,
1991-10,1957.127,
1992-01,964.245,
1992-04,-1546.451,
1992-07,337.609,
1992-10,-1127.975,
1993-01,1311.936,
1993-04,4691.365,
1993-07,3561.296,
1993-10,3297.856,
1994-01,6248.714,
1994-04,149.040,
1994-07,-808.624,
1994-10,3106.828,
1995-01,-1537.536,
1995-04,3443.578,
1995-07,5071.578,
1995-10,7092.897,
1996-01,-486.321,
1996-04,3403.227,
1996-07,5549.507,
1996-10,10441.204,
1997-01,12757.726,
1997-04,5751.975,
1997-07,5089.598,
1997-10,5998.776,
1998-01,16060.047,
1998-04,8752.627,
1998-07,-1761.068,
1998-10,28375.953,
1999-01,11668.386,
1999-04,21813.468,
1999-07,7859.924,
1999-10,15904.194,
2000-01,1985.926,
2000-04,8114.466,
2000-07,-4588.813,
2000-10,11227.629,
2001-01,43428.866,
2001-04,45951.361,
2001-07,4113.354,
2001-10,-17047.805,
2002-01,13827.089,
2002-04,8012.342,
2002-07,-18309.446,
2002-10,-14437.211,
2003-01,1013.262,
2003-04,3817.269,
2003-07,-3390.412,
2003-10,-5742.124,
2004-01,-1232.300,
2004-04,-14084.587,
2004-07,-7532.066,
2004-10,-5245.760,
2005-01,5047.552,
2005-04,2750.006,
2005-07,-3364.407,
2005-10,-17240.689,
2006-01,530.887,
2006-04,6639.513,
2006-07,4411.120,
2006-10,17187.845,
2007-01,-804.061,
2007-04,11140.457,
2007-07,13579.077,
2007-10,3112.210,
2008-01,21884.026,
2008-04,14321.594,
2008-07,-28165.533,
2008-10,7266.681,
2009-01,9503.921,
2009-04,-2576.973,
2009-07,-13942.838,
2009-10,-23537.262,
2010-01,-4353.410,
2010-04,21992.390,
2010-07,706.259,
2010-10,3355.886,
2011-01,-5097.777,
2011-04,1730.864,
2011-07,4949.400,
2011-10,-6721.193,
2012-01,6331.920,
2012-04,2914.726,
2012-07,17935.770,
2012-10,-7355.407,
2013-01,-384.426,
2013-04,-3024.562,
2013-07,-12261.936,
2013-10,-6700.137,
2014-01,-7340.868,Provisional value
2014-04,-986.738,Provisional value
2014-07,11438.551,Provisional value
2014-10,16296.038,Provisional value
