"",BBK01.OEXL09V,BBK01.OEXL09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:45,
2002-01,0.583,
2002-04,0.547,
2002-07,0.564,
2002-10,0.540,
2003-01,0.490,
2003-04,0.441,
2003-07,0.403,
2003-10,0.379,
2004-01,0.365,
2004-04,0.335,
2004-07,0.310,
2004-10,0.299,
2005-01,0.322,
2005-04,0.299,
2005-07,0.235,
2005-10,0.230,
2006-01,0.230,
2006-04,0.257,
2006-07,0.275,
2006-10,0.324,
2007-01,0.523,
2007-04,0.599,
2007-07,0.685,
2007-10,0.837,
2008-01,0.914,
2008-04,0.973,
2008-07,1.029,
2008-10,1.373,
2009-01,1.309,
2009-04,1.264,
2009-07,1.244,
2009-10,1.051,
2010-01,0.884,
2010-04,0.851,
2010-07,0.829,
2010-10,0.997,
2011-01,1.143,
2011-04,1.179,
2011-07,1.191,
2011-10,1.168,
2012-01,1.101,
2012-04,1.097,
2012-07,1.037,
2012-10,0.900,
2013-01,0.766,
2013-04,0.673,
2013-07,0.632,
2013-10,0.587,
2014-01,0.559,
2014-04,0.536,
2014-07,0.633,
