"",BBK01.OEHJ06L,BBK01.OEHJ06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:45,
2002-01,1.760,
2002-04,1.741,
2002-07,1.667,
2002-10,1.645,
2003-01,1.643,
2003-04,1.588,
2003-07,1.543,
2003-10,1.499,
2004-01,1.506,
2004-04,1.571,
2004-07,1.591,
2004-10,1.609,
2005-01,1.610,
2005-04,1.655,
2005-07,1.667,
2005-10,1.619,
2006-01,1.626,
2006-04,1.558,
2006-07,1.577,
2006-10,1.506,
2007-01,1.419,
2007-04,1.373,
2007-07,1.245,
2007-10,1.270,
2008-01,1.306,
2008-04,1.296,
2008-07,1.269,
2008-10,1.261,
2009-01,1.204,
2009-04,1.182,
2009-07,1.156,
2009-10,1.120,
2010-01,1.106,
2010-04,1.074,
2010-07,1.051,
2010-10,1.096,
2011-01,1.024,
2011-04,1.005,
2011-07,1.027,
2011-10,0.981,
2012-01,0.948,
2012-04,0.916,
2012-07,0.907,
2012-10,0.862,
2013-01,0.812,
2013-04,0.758,
2013-07,0.736,
2013-10,0.742,
2014-01,0.699,
2014-04,0.663,
2014-07,0.683,
