"",BBK01.CELS02,BBK01.CELS02_FLAGS
"",Savings certificates                                                        debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:41,
1999-01,4.2,
1999-04,3.5,
1999-07,3.0,
1999-10,1.9,
2000-01,2.8,
2000-04,1.5,
2000-07,0.9,
2000-10,0.1,
2001-01,1.0,
2001-04,0.3,
2001-07,-0.2,
2001-10,-1.5,
2002-01,-0.9,
2002-04,-0.1,
2002-07,-0.7,
2002-10,-0.7,
2003-01,-0.7,
2003-04,-0.3,
2003-07,-0.6,
2003-10,0.0,
2004-01,-0.6,
2004-04,-0.3,
2004-07,0.3,
2004-10,0.3,
2005-01,1.3,
2005-04,3.8,
2005-07,-0.2,
2005-10,-1.8,
2006-01,-1.2,
2006-04,-1.5,
2006-07,-1.0,
2006-10,-1.8,
2007-01,-1.2,
2007-04,-1.1,
2007-07,-0.9,
2007-10,-1.3,
2008-01,-2.0,
2008-04,-1.3,
2008-07,-2.6,
2008-10,-2.3,
2009-01,-2.4,
2009-04,-1.8,
2009-07,-1.4,
2009-10,-1.7,
2010-01,-0.9,
2010-04,-0.7,
2010-07,0.8,
2010-10,-0.4,
2011-01,-1.4,
2011-04,-0.5,
2011-07,-0.5,
2011-10,-1.3,
2012-01,-1.8,
2012-04,-1.8,
2012-07,-1.2,
2012-10,-1.4,
2013-01,-0.9,
2013-04,-1.9,
2013-07,-1.3,
2013-10,-1.7,
2014-01,-2.0,
2014-04,-1.3,
2014-07,0.3,
