"",BBDE1.M.DE.Y.AEB5.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2P310000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:14,
1991-01,46.7,
1991-02,45.9,
1991-03,45.6,
1991-04,47.1,
1991-05,45.0,
1991-06,44.4,
1991-07,45.7,
1991-08,45.3,
1991-09,45.0,
1991-10,47.1,
1991-11,45.9,
1991-12,46.9,
1992-01,45.5,
1992-02,43.9,
1992-03,46.3,
1992-04,44.2,
1992-05,44.2,
1992-06,44.2,
1992-07,42.8,
1992-08,42.1,
1992-09,41.1,
1992-10,39.7,
1992-11,42.4,
1992-12,39.6,
1993-01,40.0,
1993-02,41.6,
1993-03,39.7,
1993-04,41.1,
1993-05,40.5,
1993-06,42.2,
1993-07,42.8,
1993-08,41.6,
1993-09,40.6,
1993-10,41.7,
1993-11,41.9,
1993-12,44.4,
1994-01,44.7,
1994-02,46.8,
1994-03,47.5,
1994-04,46.4,
1994-05,47.4,
1994-06,47.5,
1994-07,47.2,
1994-08,47.5,
1994-09,51.6,
1994-10,50.8,
1994-11,53.4,
1994-12,56.1,
1995-01,52.6,
1995-02,54.1,
1995-03,52.6,
1995-04,51.7,
1995-05,51.4,
1995-06,51.2,
1995-07,51.5,
1995-08,49.3,
1995-09,51.8,
1995-10,49.0,
1995-11,46.9,
1995-12,49.7,
1996-01,51.0,
1996-02,50.7,
1996-03,51.8,
1996-04,50.3,
1996-05,51.1,
1996-06,50.5,
1996-07,51.2,
1996-08,52.6,
1996-09,53.9,
1996-10,53.8,
1996-11,53.8,
1996-12,53.3,
1997-01,56.2,
1997-02,58.2,
1997-03,58.2,
1997-04,58.4,
1997-05,58.0,
1997-06,60.2,
1997-07,60.8,
1997-08,62.5,
1997-09,63.4,
1997-10,63.4,
1997-11,61.9,
1997-12,62.4,
1998-01,62.4,
1998-02,60.3,
1998-03,60.2,
1998-04,60.0,
1998-05,58.5,
1998-06,59.9,
1998-07,57.6,
1998-08,57.2,
1998-09,57.9,
1998-10,53.7,
1998-11,55.1,
1998-12,54.5,
1999-01,56.0,
1999-02,55.1,
1999-03,56.9,
1999-04,55.4,
1999-05,58.0,
1999-06,57.6,
1999-07,62.0,
1999-08,63.9,
1999-09,64.1,
1999-10,64.9,
1999-11,66.6,
1999-12,70.8,
2000-01,64.2,
2000-02,69.5,
2000-03,74.3,
2000-04,71.4,
2000-05,73.9,
2000-06,77.6,
2000-07,76.3,
2000-08,83.5,
2000-09,80.3,
2000-10,78.1,
2000-11,76.2,
2000-12,77.7,
2001-01,73.0,
2001-02,71.8,
2001-03,70.1,
2001-04,68.8,
2001-05,75.3,
2001-06,73.1,
2001-07,69.5,
2001-08,70.7,
2001-09,65.2,
2001-10,67.2,
2001-11,65.8,
2001-12,70.5,
2002-01,67.5,
2002-02,71.8,
2002-03,71.5,
2002-04,73.4,
2002-05,74.2,
2002-06,74.1,
2002-07,71.7,
2002-08,71.2,
2002-09,73.1,
2002-10,70.7,
2002-11,74.6,
2002-12,71.8,
2003-01,75.2,
2003-02,72.3,
2003-03,73.9,
2003-04,72.5,
2003-05,69.7,
2003-06,71.5,
2003-07,73.8,
2003-08,73.5,
2003-09,76.1,
2003-10,75.7,
2003-11,76.3,
2003-12,81.4,
2004-01,79.1,
2004-02,80.8,
2004-03,79.6,
2004-04,82.3,
2004-05,83.8,
2004-06,81.3,
2004-07,82.6,
2004-08,83.8,
2004-09,84.6,
2004-10,82.0,
2004-11,82.0,
2004-12,83.8,
2005-01,84.4,
2005-02,84.0,
2005-03,84.2,
2005-04,84.7,
2005-05,85.2,
2005-06,87.1,
2005-07,91.7,
2005-08,89.1,
2005-09,90.4,
2005-10,92.2,
2005-11,93.5,
2005-12,95.1,
2006-01,93.7,
2006-02,97.0,
2006-03,96.2,
2006-04,99.2,
2006-05,100.1,
2006-06,102.5,
2006-07,102.7,
2006-08,103.8,
2006-09,103.8,
2006-10,107.6,
2006-11,108.2,
2006-12,106.0,
2007-01,106.7,
2007-02,108.3,
2007-03,113.9,
2007-04,108.1,
2007-05,110.3,
2007-06,113.3,
2007-07,109.2,
2007-08,110.3,
2007-09,113.2,
2007-10,113.4,
2007-11,116.8,
2007-12,114.3,
2008-01,113.9,
2008-02,111.7,
2008-03,112.0,
2008-04,112.4,
2008-05,114.8,
2008-06,109.7,
2008-07,111.3,
2008-08,111.4,
2008-09,105.0,
2008-10,102.8,
2008-11,92.9,
2008-12,82.5,
2009-01,72.1,
2009-02,69.8,
2009-03,70.0,
2009-04,73.1,
2009-05,75.2,
2009-06,79.1,
2009-07,80.0,
2009-08,83.8,
2009-09,85.1,
2009-10,84.7,
2009-11,87.2,
2009-12,84.0,
2010-01,90.5,
2010-02,92.9,
2010-03,95.1,
2010-04,99.1,
2010-05,98.5,
2010-06,99.6,
2010-07,101.9,
2010-08,101.9,
2010-09,101.5,
2010-10,102.6,
2010-11,104.9,
2010-12,108.8,
2011-01,112.6,
2011-02,110.6,
2011-03,113.3,
2011-04,109.4,
2011-05,107.0,
