"",BBK01.CELXE2,BBK01.CELXE2_FLAGS
"","Pension entitlements, Claims of pension funds on pension managers, Entitlements to non-pension benefits debtor: Domestic financial sectors                                    creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:03,
1999-01,4.1,
1999-04,2.7,
1999-07,3.1,
1999-10,4.1,
2000-01,4.6,
2000-04,3.1,
2000-07,3.4,
2000-10,3.8,
2001-01,4.4,
2001-04,2.7,
2001-07,3.2,
2001-10,1.3,
2002-01,4.4,
2002-04,2.8,
2002-07,3.2,
2002-10,-1.1,
2003-01,3.8,
2003-04,2.5,
2003-07,2.7,
2003-10,2.4,
2004-01,3.3,
2004-04,2.4,
2004-07,2.4,
2004-10,3.8,
2005-01,3.5,
2005-04,2.6,
2005-07,2.6,
2005-10,6.4,
2006-01,8.0,
2006-04,4.5,
2006-07,6.5,
2006-10,6.2,
2007-01,7.7,
2007-04,5.5,
2007-07,7.4,
2007-10,10.7,
2008-01,4.0,
2008-04,4.2,
2008-07,4.4,
2008-10,4.0,
2009-01,9.7,
2009-04,1.6,
2009-07,0.3,
2009-10,5.6,
2010-01,13.9,
2010-04,5.4,
2010-07,-0.2,
2010-10,4.5,
2011-01,10.9,
2011-04,4.7,
2011-07,2.4,
2011-10,5.8,
2012-01,11.7,
2012-04,4.0,
2012-07,0.3,
2012-10,3.7,
2013-01,11.1,
2013-04,3.5,
2013-07,-0.8,
2013-10,2.7,
2014-01,7.3,
2014-04,5.2,
2014-07,3.9,
