"",BBK01.OEAC34U,BBK01.OEAC34U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:18,
2002-01,0.071,
2002-04,0.069,
2002-07,0.066,
2002-10,0.075,
2003-01,0.070,
2003-04,0.070,
2003-07,0.070,
2003-10,0.067,
2004-01,0.068,
2004-04,0.067,
2004-07,0.068,
2004-10,0.068,
2005-01,0.064,
2005-04,0.070,
2005-07,0.071,
2005-10,0.070,
2006-01,0.066,
2006-04,0.068,
2006-07,0.069,
2006-10,0.068,
2007-01,0.064,
2007-04,0.062,
2007-07,0.059,
2007-10,0.053,
2008-01,0.050,
2008-04,0.051,
2008-07,0.048,
2008-10,0.046,
2009-01,0.050,
2009-04,0.051,
2009-07,0.054,
2009-10,0.051,
2010-01,0.054,
2010-04,0.058,
2010-07,0.056,
2010-10,0.056,
2011-01,0.056,
2011-04,0.056,
2011-07,0.061,
2011-10,0.059,
2012-01,0.059,
2012-04,0.061,
2012-07,0.059,
2012-10,0.058,
2013-01,0.057,
2013-04,0.061,
2013-07,0.056,
2013-10,0.055,
2014-01,0.053,
2014-04,0.054,
2014-07,0.054,
