"",BBK01.OELM03I,BBK01.OELM03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:38,
2002-01,0.140,
2002-04,0.215,
2002-07,0.691,
2002-10,0.766,
2003-01,0.766,
2003-04,0.678,
2003-07,0.551,
2003-10,0.462,
2004-01,0.498,
2004-04,0.367,
2004-07,0.396,
2004-10,0.718,
2005-01,0.582,
2005-04,0.444,
2005-07,0.471,
2005-10,0.542,
2006-01,0.449,
2006-04,0.459,
2006-07,0.395,
2006-10,0.525,
2007-01,0.301,
2007-04,0.474,
2007-07,0.491,
2007-10,0.666,
2008-01,0.529,
2008-04,0.283,
2008-07,0.302,
2008-10,0.205,
2009-01,0.159,
2009-04,0.117,
2009-07,0.043,
2009-10,0.051,
2010-01,0.113,
2010-04,0.161,
2010-07,0.026,
2010-10,0.076,
2011-01,0.076,
2011-04,0.179,
2011-07,0.035,
2011-10,0.075,
2012-01,0.123,
2012-04,0.153,
2012-07,0.086,
2012-10,0.081,
2013-01,0.193,
2013-04,0.103,
2013-07,0.075,
2013-10,0.053,
2014-01,0.113,
2014-04,0.189,
2014-07,0.239,
