"",BBK01.OEBI08K,BBK01.OEBI08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:00,
2002-01,2.135,
2002-04,1.809,
2002-07,1.791,
2002-10,1.958,
2003-01,2.066,
2003-04,2.057,
2003-07,2.134,
2003-10,2.124,
2004-01,2.090,
2004-04,2.065,
2004-07,2.196,
2004-10,2.220,
2005-01,3.476,
2005-04,3.621,
2005-07,3.625,
2005-10,3.546,
2006-01,3.437,
2006-04,3.415,
2006-07,3.314,
2006-10,3.318,
2007-01,3.391,
2007-04,3.335,
2007-07,3.261,
2007-10,3.307,
2008-01,3.368,
2008-04,3.389,
2008-07,3.305,
2008-10,3.417,
2009-01,3.603,
2009-04,3.788,
2009-07,4.198,
2009-10,4.330,
2010-01,4.473,
2010-04,4.423,
2010-07,4.482,
2010-10,4.635,
2011-01,4.571,
2011-04,4.351,
2011-07,4.246,
2011-10,4.219,
2012-01,4.496,
2012-04,4.448,
2012-07,4.785,
2012-10,4.939,
2013-01,4.722,
2013-04,4.689,
2013-07,4.612,
2013-10,4.625,
2014-01,4.557,
2014-04,4.496,
2014-07,4.506,
