"",BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:28,
1991-01,41.198,
1991-04,46.209,
1991-07,8.755,
1991-10,77.581,
1992-01,-5.258,
1992-04,20.965,
1992-07,-7.604,
1992-10,123.227,
1993-01,-11.702,
1993-04,-40.775,
1993-07,-11.046,
1993-10,72.318,
1994-01,25.486,
1994-04,20.530,
1994-07,29.315,
1994-10,417.833,
1995-01,87.126,
1995-04,76.203,
1995-07,84.252,
1995-10,146.242,
1996-01,464.995,
1996-04,427.806,
1996-07,9.616,
1996-10,477.553,
1997-01,187.550,
1997-04,-487.256,
1997-07,113.002,
1997-10,152.606,
1998-01,266.461,
1998-04,-23.741,
1998-07,134.239,
1998-10,2.338,
1999-01,309.238,
1999-04,163.441,
1999-07,67.611,
1999-10,102.198,
2000-01,168.951,
2000-04,-72.782,
2000-07,270.002,
2000-10,2210.084,
2001-01,318.007,
2001-04,821.939,
2001-07,-492.095,
2001-10,-339.453,
2002-01,140.658,
2002-04,361.551,
2002-07,20.164,
2002-10,377.848,
2003-01,809.990,
2003-04,-438.576,
2003-07,0.075,
2003-10,446.560,
2004-01,584.074,
2004-04,16.225,
2004-07,-6.481,
2004-10,-359.482,
2005-01,-10.512,
2005-04,517.091,
2005-07,317.394,
2005-10,-1629.470,
2006-01,55.234,
2006-04,-157.569,
2006-07,-107.910,
2006-10,-109.802,
2007-01,575.354,
2007-04,-100.331,
2007-07,-269.787,
2007-10,870.241,
2008-01,651.993,
2008-04,456.577,
2008-07,121.804,
2008-10,1051.551,
2009-01,-484.092,
2009-04,-406.417,
2009-07,-82.475,
2009-10,235.550,
2010-01,1707.483,
2010-04,1060.606,
2010-07,-21.628,
2010-10,-269.282,
2011-01,-71.281,
2011-04,-171.419,
2011-07,272.836,
2011-10,464.299,
2012-01,-167.363,
2012-04,50.193,
2012-07,-145.468,
2012-10,126.494,
2013-01,212.236,
2013-04,126.045,
2013-07,398.299,
2013-10,371.767,
2014-01,196.225,Provisional value
2014-04,218.624,Provisional value
2014-07,-29.753,Provisional value
2014-10,7.640,Provisional value
