"",BBK01.OEAD25V,BBK01.OEAD25V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:05,
2002-01,0.071,
2002-04,0.072,
2002-07,0.077,
2002-10,0.076,
2003-01,0.076,
2003-04,0.075,
2003-07,0.074,
2003-10,0.067,
2004-01,0.072,
2004-04,0.063,
2004-07,0.061,
2004-10,0.066,
2005-01,0.068,
2005-04,0.065,
2005-07,0.062,
2005-10,0.064,
2006-01,0.062,
2006-04,0.064,
2006-07,0.070,
2006-10,0.072,
2007-01,0.072,
2007-04,0.069,
2007-07,0.068,
2007-10,0.070,
2008-01,0.063,
2008-04,0.069,
2008-07,0.074,
2008-10,0.071,
2009-01,0.070,
2009-04,0.068,
2009-07,0.070,
2009-10,0.071,
2010-01,0.070,
2010-04,0.071,
2010-07,0.072,
2010-10,0.078,
2011-01,0.070,
2011-04,0.074,
2011-07,0.080,
2011-10,0.082,
2012-01,0.084,
2012-04,0.078,
2012-07,0.075,
2012-10,0.082,
2013-01,0.090,
2013-04,0.103,
2013-07,0.095,
2013-10,0.089,
2014-01,0.093,
2014-04,0.095,
2014-07,0.082,
