"",BBK01.OECB04R,BBK01.OECB04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:35,
2002-01,2.597,
2002-04,2.574,
2002-07,2.541,
2002-10,2.511,
2003-01,2.285,
2003-04,2.261,
2003-07,2.217,
2003-10,2.216,
2004-01,2.154,
2004-04,2.109,
2004-07,2.069,
2004-10,2.358,
2005-01,3.260,
2005-04,3.214,
2005-07,3.222,
2005-10,3.165,
2006-01,3.116,
2006-04,3.082,
2006-07,3.060,
2006-10,2.996,
2007-01,3.007,
2007-04,2.967,
2007-07,2.957,
2007-10,2.934,
2008-01,2.915,
2008-04,2.896,
2008-07,2.887,
2008-10,2.921,
2009-01,2.884,
2009-04,3.269,
2009-07,3.226,
2009-10,3.219,
2010-01,3.196,
2010-04,3.150,
2010-07,3.136,
2010-10,3.130,
2011-01,3.147,
2011-04,3.098,
2011-07,3.086,
2011-10,3.086,
2012-01,3.089,
2012-04,3.072,
2012-07,3.078,
2012-10,3.077,
2013-01,3.058,
2013-04,3.057,
2013-07,3.072,
2013-10,3.060,
2014-01,3.048,
2014-04,3.065,
2014-07,3.055,
