"",BBK01.OEAC28R,BBK01.OEAC28R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:33,
2002-01,0.066,
2002-04,0.057,
2002-07,0.061,
2002-10,0.051,
2003-01,0.045,
2003-04,0.057,
2003-07,0.047,
2003-10,0.026,
2004-01,0.024,
2004-04,0.020,
2004-07,0.034,
2004-10,0.027,
2005-01,0.032,
2005-04,0.034,
2005-07,0.033,
2005-10,0.028,
2006-01,0.026,
2006-04,0.028,
2006-07,0.027,
2006-10,0.027,
2007-01,0.029,
2007-04,0.035,
2007-07,0.026,
2007-10,0.022,
2008-01,0.021,
2008-04,0.022,
2008-07,0.018,
2008-10,0.019,
2009-01,0.018,
2009-04,0.018,
2009-07,0.019,
2009-10,0.018,
2010-01,0.018,
2010-04,0.016,
2010-07,0.037,
2010-10,0.037,
2011-01,0.040,
2011-04,0.044,
2011-07,0.019,
2011-10,0.014,
2012-01,0.016,
2012-04,0.016,
2012-07,0.016,
2012-10,0.018,
2013-01,0.016,
2013-04,0.013,
2013-07,0.012,
2013-10,0.014,
2014-01,0.016,
2014-04,0.015,
2014-07,0.014,
