"",BBFB1.Q.N.DE.U3.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:05,
1991-01,3473.893,
1991-04,4236.238,
1991-07,3897.222,
1991-10,4100.747,
1992-01,3993.680,
1992-04,4550.473,
1992-07,4425.793,
1992-10,4272.854,
1993-01,4384.751,
1993-04,4837.213,
1993-07,4355.695,
1993-10,4345.794,
1994-01,3793.991,
1994-04,4439.853,
1994-07,4112.363,
1994-10,4356.669,
1995-01,4052.368,
1995-04,4750.671,
1995-07,4472.707,
1995-10,4361.605,
1996-01,4025.531,
1996-04,4669.273,
1996-07,5149.679,
1996-10,4928.279,
1997-01,4746.102,
1997-04,6288.291,
1997-07,5622.706,
1997-10,6205.816,
1998-01,5429.846,
1998-04,6940.011,
1998-07,6722.399,
1998-10,6124.782,
1999-01,6122.171,
1999-04,7809.878,
1999-07,7446.366,
1999-10,8096.848,
2000-01,8133.587,
2000-04,10130.628,
2000-07,9628.434,
2000-10,10187.822,
2001-01,6810.757,
2001-04,6803.753,
2001-07,5951.337,
2001-10,5366.586,
2002-01,7162.852,
2002-04,8860.318,
2002-07,8102.626,
2002-10,7663.477,
2003-01,6138.345,
2003-04,8421.560,
2003-07,7088.977,
2003-10,6800.225,
2004-01,7474.049,
2004-04,10145.588,
2004-07,8223.009,
2004-10,8019.155,
2005-01,7692.181,
2005-04,10504.024,
2005-07,8777.988,
2005-10,8564.395,
2006-01,9171.796,
2006-04,13017.544,
2006-07,10585.025,
2006-10,11219.133,
2007-01,12236.489,
2007-04,19763.974,
2007-07,12909.205,
2007-10,11345.428,
2008-01,8842.160,
2008-04,17293.510,
2008-07,10525.801,
2008-10,7889.928,
2009-01,6583.105,
2009-04,11139.288,
2009-07,6000.561,
2009-10,5512.009,
2010-01,6233.204,
2010-04,11073.810,
2010-07,7450.841,
2010-10,7012.840,
2011-01,6068.823,
2011-04,10394.312,
2011-07,6867.984,
2011-10,6188.905,
2012-01,6007.319,
2012-04,10299.795,
2012-07,6225.519,
2012-10,5945.197,
2013-01,5519.844,
2013-04,7839.725,
2013-07,6171.029,
2013-10,5710.023,
2014-01,5186.587,Provisional value
2014-04,10761.753,Provisional value
2014-07,6295.618,Provisional value
