"",BBK01.OEAP03K,BBK01.OEAP03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:51,
2002-01,3.960,
2002-04,3.570,
2002-07,3.237,
2002-10,3.075,
2003-01,3.007,
2003-04,2.863,
2003-07,3.084,
2003-10,2.477,
2004-01,1.996,
2004-04,2.817,
2004-07,2.210,
2004-10,2.296,
2005-01,1.544,
2005-04,1.620,
2005-07,1.563,
2005-10,1.572,
2006-01,1.384,
2006-04,1.408,
2006-07,1.401,
2006-10,1.116,
2007-01,1.212,
2007-04,1.027,
2007-07,1.058,
2007-10,1.344,
2008-01,1.205,
2008-04,1.098,
2008-07,1.693,
2008-10,1.025,
2009-01,0.829,
2009-04,0.823,
2009-07,1.005,
2009-10,0.686,
2010-01,0.554,
2010-04,0.386,
2010-07,0.354,
2010-10,0.317,
2011-01,0.351,
2011-04,0.301,
2011-07,8.357,
2011-10,0.300,
2012-01,0.314,
2012-04,0.312,
2012-07,0.267,
2012-10,0.282,
2013-01,0.263,
2013-04,0.231,
2013-07,0.234,
2013-10,0.195,
2014-01,0.233,
2014-04,0.156,
2014-07,0.184,
