"",BBK01.OEAC50R,BBK01.OEAC50R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:00,
2002-01,0.795,
2002-04,0.788,
2002-07,0.775,
2002-10,0.768,
2003-01,0.734,
2003-04,0.721,
2003-07,0.716,
2003-10,0.705,
2004-01,0.675,
2004-04,0.676,
2004-07,0.655,
2004-10,0.651,
2005-01,0.634,
2005-04,0.628,
2005-07,0.611,
2005-10,0.615,
2006-01,0.600,
2006-04,0.605,
2006-07,0.577,
2006-10,0.558,
2007-01,0.543,
2007-04,0.543,
2007-07,0.531,
2007-10,0.530,
2008-01,0.519,
2008-04,0.516,
2008-07,0.505,
2008-10,0.509,
2009-01,0.472,
2009-04,0.482,
2009-07,0.477,
2009-10,0.448,
2010-01,0.456,
2010-04,0.449,
2010-07,0.442,
2010-10,0.445,
2011-01,0.436,
2011-04,0.433,
2011-07,0.425,
2011-10,0.426,
2012-01,0.429,
2012-04,0.505,
2012-07,0.500,
2012-10,0.498,
2013-01,0.495,
2013-04,0.495,
2013-07,0.500,
2013-10,0.498,
2014-01,0.496,
2014-04,0.487,
2014-07,0.492,
