"",BBK01.OEAD14L,BBK01.OEAD14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:56,
2002-01,0.362,
2002-04,0.432,
2002-07,0.478,
2002-10,0.298,
2003-01,0.292,
2003-04,0.278,
2003-07,0.224,
2003-10,0.271,
2004-01,0.264,
2004-04,0.228,
2004-07,0.221,
2004-10,0.213,
2005-01,0.229,
2005-04,0.247,
2005-07,0.225,
2005-10,0.326,
2006-01,0.436,
2006-04,0.316,
2006-07,0.307,
2006-10,0.395,
2007-01,0.482,
2007-04,0.327,
2007-07,0.719,
2007-10,0.714,
2008-01,0.562,
2008-04,0.830,
2008-07,0.706,
2008-10,0.794,
2009-01,1.117,
2009-04,1.123,
2009-07,0.628,
2009-10,0.434,
2010-01,0.251,
2010-04,0.381,
2010-07,0.364,
2010-10,0.160,
2011-01,0.384,
2011-04,0.311,
2011-07,0.253,
2011-10,0.140,
2012-01,0.117,
2012-04,0.141,
2012-07,0.134,
2012-10,0.119,
2013-01,0.435,
2013-04,0.563,
2013-07,0.129,
2013-10,0.152,
2014-01,0.155,
2014-04,0.160,
2014-07,0.179,
