"",BBK01.WXI043,BBK01.WXI043_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:25,
2009-01,0,
2009-02,1,
2009-03,1,
2009-04,0,
2009-05,1,
2009-06,1,
2009-07,1,
2009-08,2,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,20,
2010-01,1,
2010-02,2,
2010-03,2,
2010-04,7,
2010-05,2,
2010-06,1,
2010-07,0,
2010-08,1,
2010-09,1,
2010-10,1,
2010-11,0,
2010-12,0,
2011-01,1,
2011-02,1,
2011-03,1,
2011-04,0,
2011-05,0,
2011-06,0,
2011-07,1,
2011-08,1,
2011-09,14,
2011-10,0,
2011-11,0,
2011-12,0,
2012-01,19,
2012-02,0,
2012-03,0,
2012-04,1,
2012-05,0,
2012-06,0,
2012-07,1,
2012-08,36,
2012-09,10,
2012-10,0,
2012-11,28,
2012-12,0,
2013-01,1,
2013-02,3,
2013-03,9,
2013-04,319,
2013-05,14,
2013-06,138,
2013-07,0,
2013-08,15,
2013-09,0,
2013-10,0,
2013-11,0,
2013-12,0,
2014-01,0,
2014-02,15,
2014-03,0,
2014-04,0,
2014-05,0,
2014-06,7,
2014-07,0,
2014-08,105,
2014-09,0,
2014-10,100,
2014-11,0,
