"",BBFB1.Q.N.DE.B2.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:35,
1991-01,7832.354,
1991-04,9193.031,
1991-07,8729.547,
1991-10,9161.929,
1992-01,9228.556,
1992-04,9834.297,
1992-07,9895.634,
1992-10,10277.297,
1993-01,10810.423,
1993-04,10935.722,
1993-07,10463.381,
1993-10,10643.161,
1994-01,10656.868,
1994-04,10760.108,
1994-07,10608.797,
1994-10,11267.266,
1995-01,11403.872,
1995-04,12101.712,
1995-07,11629.057,
1995-10,12305.515,
1996-01,11288.264,
1996-04,11854.915,
1996-07,14292.714,
1996-10,12419.784,
1997-01,13602.725,
1997-04,14780.770,
1997-07,13826.097,
1997-10,15378.759,
1998-01,14569.766,
1998-04,16622.479,
1998-07,15794.502,
1998-10,16581.229,
1999-01,16962.934,
1999-04,19968.171,
1999-07,18912.606,
1999-10,21476.399,
2000-01,19344.382,
2000-04,23598.136,
2000-07,24192.798,
2000-10,24886.011,
2001-01,21856.207,
2001-04,22842.895,
2001-07,20571.120,
2001-10,20918.704,
2002-01,23762.995,
2002-04,26110.151,
2002-07,24480.379,
2002-10,24414.447,
2003-01,23183.389,
2003-04,26310.157,
2003-07,23546.171,
2003-10,23935.631,
2004-01,24957.457,
2004-04,27572.269,
2004-07,24377.116,
2004-10,25287.865,
2005-01,26125.572,
2005-04,30106.652,
2005-07,26877.066,
2005-10,27683.442,
2006-01,27881.253,
2006-04,34224.683,
2006-07,29191.107,
2006-10,31388.130,
2007-01,36661.748,
2007-04,47775.470,
2007-07,36683.284,
2007-10,35461.093,
2008-01,29765.136,
2008-04,42489.007,
2008-07,31259.519,
2008-10,26861.653,
2009-01,23012.865,
2009-04,28947.765,
2009-07,18908.366,
2009-10,19502.935,
2010-01,24007.372,
2010-04,33547.987,
2010-07,25927.911,
2010-10,27205.218,
2011-01,25252.608,
2011-04,34816.349,
2011-07,23858.679,
2011-10,23966.424,
2012-01,23965.878,
2012-04,31016.752,
2012-07,22510.490,
2012-10,22740.612,
2013-01,22773.199,
2013-04,27879.034,
2013-07,22831.573,
2013-10,21623.727,
2014-01,21757.431,Provisional value
2014-04,30615.692,Provisional value
2014-07,21287.383,Provisional value
