"",BBK01.OEYI04H,BBK01.OEYI04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:54,
2002-01,8.420,
2002-04,6.970,
2002-07,7.012,
2002-10,5.770,
2003-01,8.093,
2003-04,7.913,
2003-07,7.448,
2003-10,7.154,
2004-01,8.135,
2004-04,7.962,
2004-07,7.548,
2004-10,10.572,
2005-01,8.751,
2005-04,9.013,
2005-07,9.230,
2005-10,8.223,
2006-01,10.045,
2006-04,10.074,
2006-07,10.805,
2006-10,8.223,
2007-01,12.433,
2007-04,12.447,
2007-07,15.261,
2007-10,16.960,
2008-01,21.943,
2008-04,24.221,
2008-07,24.227,
2008-10,11.909,
2009-01,16.078,
2009-04,14.968,
2009-07,15.754,
2009-10,13.151,
2010-01,20.049,
2010-04,22.995,
2010-07,21.652,
2010-10,16.467,
2011-01,11.660,
2011-04,13.813,
2011-07,13.619,
2011-10,15.197,
2012-01,10.026,
2012-04,10.459,
2012-07,9.162,
2012-10,14.563,
2013-01,13.195,
2013-04,11.577,
2013-07,9.608,
2013-10,9.283,
2014-01,8.649,
2014-04,8.834,
2014-07,8.418,
