"",BBK01.OEYB13M,BBK01.OEYB13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:20,
2002-01,9.635,
2002-04,9.676,
2002-07,9.362,
2002-10,9.320,
2003-01,9.344,
2003-04,9.406,
2003-07,9.469,
2003-10,9.198,
2004-01,9.143,
2004-04,9.153,
2004-07,8.614,
2004-10,8.538,
2005-01,8.410,
2005-04,8.395,
2005-07,8.420,
2005-10,8.273,
2006-01,7.857,
2006-04,7.403,
2006-07,6.927,
2006-10,6.852,
2007-01,6.619,
2007-04,6.483,
2007-07,6.407,
2007-10,6.303,
2008-01,6.126,
2008-04,6.028,
2008-07,6.388,
2008-10,6.328,
2009-01,6.258,
2009-04,6.214,
2009-07,6.170,
2009-10,6.129,
2010-01,6.073,
2010-04,6.070,
2010-07,6.065,
2010-10,6.046,
2011-01,5.965,
2011-04,5.927,
2011-07,5.681,
2011-10,5.609,
2012-01,5.527,
2012-04,5.496,
2012-07,5.394,
2012-10,5.397,
2013-01,5.344,
2013-04,5.310,
2013-07,5.341,
2013-10,5.402,
2014-01,5.335,
2014-04,5.310,
2014-07,5.285,
