"",BBK01.OEAH11P,BBK01.OEAH11P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:28,
2002-01,8.413,
2002-04,8.257,
2002-07,8.068,
2002-10,8.334,
2003-01,8.532,
2003-04,8.553,
2003-07,8.585,
2003-10,8.785,
2004-01,8.787,
2004-04,8.737,
2004-07,8.703,
2004-10,8.889,
2005-01,9.227,
2005-04,9.170,
2005-07,9.126,
2005-10,9.281,
2006-01,9.240,
2006-04,9.151,
2006-07,9.043,
2006-10,9.098,
2007-01,8.993,
2007-04,8.871,
2007-07,8.758,
2007-10,8.826,
2008-01,8.683,
2008-04,8.563,
2008-07,8.327,
2008-10,8.546,
2009-01,8.594,
2009-04,8.712,
2009-07,8.873,
2009-10,9.150,
2010-01,9.285,
2010-04,9.332,
2010-07,9.312,
2010-10,9.471,
2011-01,9.441,
2011-04,9.394,
2011-07,9.295,
2011-10,9.329,
2012-01,9.315,
2012-04,9.199,
2012-07,9.102,
2012-10,9.157,
2013-01,9.007,
2013-04,8.868,
2013-07,8.713,
2013-10,8.721,
2014-01,8.626,
2014-04,8.535,
2014-07,8.483,
