"",BBK01.OEAB07J,BBK01.OEAB07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:49,
2002-01,1.883,
2002-04,1.894,
2002-07,1.792,
2002-10,1.698,
2003-01,1.725,
2003-04,1.701,
2003-07,1.724,
2003-10,1.602,
2004-01,1.653,
2004-04,1.887,
2004-07,1.883,
2004-10,1.860,
2005-01,1.889,
2005-04,1.911,
2005-07,1.960,
2005-10,2.040,
2006-01,2.054,
2006-04,2.069,
2006-07,2.257,
2006-10,1.735,
2007-01,1.717,
2007-04,1.776,
2007-07,1.911,
2007-10,1.971,
2008-01,2.019,
2008-04,2.064,
2008-07,2.038,
2008-10,1.930,
2009-01,1.768,
2009-04,1.767,
2009-07,1.781,
2009-10,1.867,
2010-01,1.812,
2010-04,2.523,
2010-07,2.316,
2010-10,2.289,
2011-01,2.195,
2011-04,2.058,
2011-07,1.961,
2011-10,1.955,
2012-01,1.743,
2012-04,1.803,
2012-07,1.849,
2012-10,1.764,
2013-01,1.822,
2013-04,1.838,
2013-07,1.910,
2013-10,1.911,
2014-01,1.780,
2014-04,1.784,
2014-07,1.937,
