"",BBK01.TS1382,BBK01.TS1382_FLAGS
"",Credit to insurance corporations and pension funds / Loans / All maturities / Domestic / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:24,
2003-01,4.0,
2003-02,3.9,
2003-03,4.3,
2003-04,3.8,
2003-05,3.8,
2003-06,4.4,
2003-07,4.9,
2003-08,3.5,
2003-09,3.9,
2003-10,4.0,
2003-11,3.7,
2003-12,3.9,
2004-01,4.6,
2004-02,4.5,
2004-03,3.9,
2004-04,3.6,
2004-05,3.4,
2004-06,2.7,
2004-07,2.7,
2004-08,2.7,
2004-09,2.6,
2004-10,2.8,
2004-11,2.4,
2004-12,2.6,
2005-01,2.5,
2005-02,2.6,
2005-03,2.4,
2005-04,2.6,
2005-05,3.1,
2005-06,2.9,
2005-07,2.8,
2005-08,3.0,
2005-09,3.3,
2005-10,3.0,
2005-11,3.4,
2005-12,2.9,
2006-01,3.2,
2006-02,3.2,
2006-03,3.2,
2006-04,3.2,
2006-05,3.3,
2006-06,3.3,
2006-07,2.7,
2006-08,2.8,
2006-09,2.7,
2006-10,2.7,
2006-11,3.0,
2006-12,2.9,
2007-01,3.2,
2007-02,5.1,
2007-03,5.5,
2007-04,5.8,
2007-05,4.6,
2007-06,5.9,
2007-07,7.6,
2007-08,5.9,
2007-09,6.0,
2007-10,5.8,
2007-11,5.7,
2007-12,6.9,
2008-01,5.0,
2008-02,5.4,
2008-03,7.0,
2008-04,6.0,
2008-05,5.7,
2008-06,5.9,
2008-07,6.7,
2008-08,7.1,
2008-09,7.3,
2008-10,6.8,
2008-11,7.0,
2008-12,5.3,
2009-01,5.0,
2009-02,5.3,
2009-03,5.5,
2009-04,5.4,
2009-05,5.3,
2009-06,4.9,
2009-07,5.4,
2009-08,4.8,
2009-09,5.0,
2009-10,4.8,
2009-11,4.4,
2009-12,5.1,
2010-01,4.9,
2010-02,5.1,
2010-03,5.0,
2010-04,5.0,
2010-05,5.8,
2010-06,4.8,
2010-07,5.0,
2010-08,3.9,
2010-09,4.6,
2010-10,5.0,
2010-11,4.7,
2010-12,5.1,
2011-01,3.6,
2011-02,3.9,
2011-03,3.4,
2011-04,3.8,
2011-05,3.2,
2011-06,3.2,
2011-07,3.6,
2011-08,3.6,
2011-09,3.5,
2011-10,3.7,
2011-11,3.7,
2011-12,3.3,
2012-01,3.1,
2012-02,3.2,
2012-03,3.0,
2012-04,3.3,
2012-05,3.2,
2012-06,3.9,
2012-07,3.4,
2012-08,3.4,
2012-09,3.6,
2012-10,3.5,
2012-11,3.3,
2012-12,3.5,
2013-01,3.5,
2013-02,3.2,
2013-03,3.3,
2013-04,3.1,
2013-05,3.0,
2013-06,3.1,
2013-07,2.8,
2013-08,2.8,
2013-09,2.8,
2013-10,3.0,
2013-11,3.0,
2013-12,3.4,
2014-01,3.7,
2014-02,3.8,
2014-03,3.9,
2014-04,3.3,
2014-05,3.0,
2014-06,3.5,
2014-07,3.1,
2014-08,3.2,
2014-09,4.9,
2014-10,2.9,
2014-11,3.1,
2014-12,2.8,Provisional value
2015-01,3.1,
