"",BBK01.OEYB13O,BBK01.OEYB13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:43,
2002-01,3.266,
2002-04,4.070,
2002-07,4.084,
2002-10,4.078,
2003-01,3.837,
2003-04,3.084,
2003-07,1.803,
2003-10,2.172,
2004-01,2.156,
2004-04,2.250,
2004-07,2.218,
2004-10,2.229,
2005-01,2.187,
2005-04,2.199,
2005-07,2.249,
2005-10,2.147,
2006-01,2.185,
2006-04,2.210,
2006-07,2.247,
2006-10,2.340,
2007-01,2.342,
2007-04,2.320,
2007-07,2.310,
2007-10,2.283,
2008-01,2.293,
2008-04,2.266,
2008-07,2.050,
2008-10,1.985,
2009-01,1.909,
2009-04,1.880,
2009-07,1.871,
2009-10,1.910,
2010-01,1.868,
2010-04,1.776,
2010-07,1.749,
2010-10,1.732,
2011-01,1.709,
2011-04,1.686,
2011-07,1.688,
2011-10,1.672,
2012-01,1.656,
2012-04,1.619,
2012-07,1.598,
2012-10,1.762,
2013-01,1.533,
2013-04,1.500,
2013-07,1.625,
2013-10,1.766,
2014-01,1.564,
2014-04,1.533,
2014-07,1.520,
