"",BBK01.OEAF06L,BBK01.OEAF06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:13,
2002-01,9.659,
2002-04,9.776,
2002-07,9.782,
2002-10,9.630,
2003-01,10.350,
2003-04,10.032,
2003-07,9.459,
2003-10,9.627,
2004-01,9.705,
2004-04,10.002,
2004-07,10.517,
2004-10,10.617,
2005-01,10.748,
2005-04,10.647,
2005-07,10.650,
2005-10,9.370,
2006-01,9.260,
2006-04,9.683,
2006-07,9.579,
2006-10,9.632,
2007-01,9.415,
2007-04,9.591,
2007-07,9.573,
2007-10,9.535,
2008-01,9.537,
2008-04,9.860,
2008-07,9.655,
2008-10,8.606,
2009-01,9.337,
2009-04,9.211,
2009-07,9.797,
2009-10,10.667,
2010-01,10.542,
2010-04,10.972,
2010-07,12.022,
2010-10,11.960,
2011-01,13.053,
2011-04,11.788,
2011-07,12.067,
2011-10,12.219,
2012-01,11.532,
2012-04,11.864,
2012-07,12.289,
2012-10,12.219,
2013-01,12.176,
2013-04,12.469,
2013-07,12.745,
2013-10,12.757,
2014-01,12.755,
2014-04,12.882,
2014-07,12.985,
