"",BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:27,
1991-01,-0.810,
1991-04,-0.333,
1991-07,-0.625,
1991-10,-0.844,
1992-01,14.019,
1992-04,0.318,
1992-07,0.248,
1992-10,0.477,
1993-01,-0.788,
1993-04,-1.429,
1993-07,-0.061,
1993-10,-1.612,
1994-01,2.450,
1994-04,1.289,
1994-07,-1.208,
1994-10,0.867,
1995-01,-0.594,
1995-04,-0.237,
1995-07,-0.478,
1995-10,-1.009,
1996-01,-0.865,
1996-04,11.883,
1996-07,32.384,
1996-10,-15.773,
1997-01,3.687,
1997-04,-5.423,
1997-07,10.276,
1997-10,56.489,
1998-01,1.358,
1998-04,24.286,
1998-07,-20.193,
1998-10,-11.257,
1999-01,21.626,
1999-04,-20.625,
1999-07,43.452,
1999-10,61.011,
2000-01,136.032,
2000-04,-46.095,
2000-07,114.435,
2000-10,-12.127,
2001-01,30.514,
2001-04,-137.398,
2001-07,6.648,
2001-10,24.081,
2002-01,-7.862,
2002-04,35.219,
2002-07,50.912,
2002-10,-4.861,
2003-01,99.105,
2003-04,145.101,
2003-07,10.037,
2003-10,39.162,
2004-01,201.964,
2004-04,-80.369,
2004-07,24.621,
2004-10,52.439,
2005-01,33.803,
2005-04,-8.806,
2005-07,23.292,
2005-10,277.988,
2006-01,-59.525,
2006-04,56.833,
2006-07,13.562,
2006-10,199.355,
2007-01,-124.628,
2007-04,-48.034,
2007-07,100.720,
2007-10,224.551,
2008-01,220.746,
2008-04,51.640,
2008-07,-98.355,
2008-10,23.244,
2009-01,-1.231,
2009-04,-49.422,
2009-07,195.551,
2009-10,96.373,
2010-01,152.551,
2010-04,-59.482,
2010-07,358.872,
2010-10,-124.676,
2011-01,33.665,
2011-04,416.601,
2011-07,11.837,
2011-10,141.554,
2012-01,-189.273,
2012-04,-9.550,
2012-07,357.494,
2012-10,-466.365,
2013-01,415.992,
2013-04,-108.463,
2013-07,137.818,
2013-10,-123.656,
2014-01,153.528,Provisional value
2014-04,74.144,Provisional value
2014-07,-370.640,Provisional value
2014-10,220.350,Provisional value
