"",BBFB1.Q.N.DE.LU.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.LU.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Luxembourg,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:07,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-,Nothing exists
1993-04,-,Nothing exists
1993-07,-,Nothing exists
1993-10,-,Nothing exists
1994-01,-,Nothing exists
1994-04,-,Nothing exists
1994-07,-,Nothing exists
1994-10,-,Nothing exists
1995-01,-,Nothing exists
1995-04,-,Nothing exists
1995-07,-,Nothing exists
1995-10,-,Nothing exists
1996-01,-,Nothing exists
1996-04,-,Nothing exists
1996-07,-,Nothing exists
1996-10,-,Nothing exists
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-167.011,
1999-04,422.229,
1999-07,-96.894,
1999-10,1413.429,
2000-01,478.600,
2000-04,84.875,
2000-07,236.769,
2000-10,143.754,
2001-01,5728.914,
2001-04,1261.947,
2001-07,-21.829,
2001-10,166.352,
2002-01,-170.013,
2002-04,502.765,
2002-07,843.183,
2002-10,-923.369,
2003-01,-3131.502,
2003-04,-547.723,
2003-07,-179.858,
2003-10,-32.674,
2004-01,-789.868,
2004-04,1284.364,
2004-07,-779.875,
2004-10,-1117.921,
2005-01,1589.059,
2005-04,-357.281,
2005-07,212.806,
2005-10,-288.475,
2006-01,-397.112,
2006-04,1366.640,
2006-07,197.912,
2006-10,4419.470,
2007-01,1325.323,
2007-04,862.997,
2007-07,748.258,
2007-10,4888.801,
2008-01,4559.569,
2008-04,-194.922,
2008-07,3167.569,
2008-10,2844.319,
2009-01,4657.364,
2009-04,1833.318,
2009-07,1708.275,
2009-10,1466.528,
2010-01,1531.235,
2010-04,476.467,
2010-07,-638.460,
2010-10,-966.225,
2011-01,-1432.156,
2011-04,-116.394,
2011-07,815.864,
2011-10,2348.457,
2012-01,10850.170,
2012-04,11583.006,
2012-07,3283.621,
2012-10,11235.617,
2013-01,1194.972,
2013-04,5385.436,
2013-07,-786.272,
2013-10,512.595,
2014-01,-50.643,Provisional value
2014-04,1824.445,Provisional value
2014-07,225.932,Provisional value
2014-10,-1951.054,Provisional value
