"",BBK01.OEHB21R,BBK01.OEHB21R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:03,
2002-01,0.356,
2002-04,0.358,
2002-07,0.364,
2002-10,0.373,
2003-01,0.429,
2003-04,0.409,
2003-07,0.421,
2003-10,0.455,
2004-01,0.458,
2004-04,0.439,
2004-07,0.436,
2004-10,0.496,
2005-01,0.475,
2005-04,0.476,
2005-07,0.453,
2005-10,0.507,
2006-01,0.503,
2006-04,0.485,
2006-07,0.491,
2006-10,0.479,
2007-01,0.490,
2007-04,0.512,
2007-07,0.488,
2007-10,0.497,
2008-01,0.473,
2008-04,0.461,
2008-07,0.458,
2008-10,0.471,
2009-01,0.452,
2009-04,0.438,
2009-07,0.439,
2009-10,0.422,
2010-01,0.397,
2010-04,0.394,
2010-07,0.396,
2010-10,0.383,
2011-01,0.398,
2011-04,0.437,
2011-07,0.416,
2011-10,0.439,
2012-01,0.465,
2012-04,0.483,
2012-07,0.487,
2012-10,0.499,
2013-01,0.518,
2013-04,0.541,
2013-07,0.547,
2013-10,0.576,
2014-01,0.620,
2014-04,0.661,
2014-07,0.671,
