"",BBK01.OEAC49S,BBK01.OEAC49S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:53,
2002-01,0.569,
2002-04,0.573,
2002-07,0.575,
2002-10,0.567,
2003-01,0.551,
2003-04,0.552,
2003-07,0.552,
2003-10,0.543,
2004-01,0.526,
2004-04,0.520,
2004-07,0.516,
2004-10,0.485,
2005-01,0.490,
2005-04,0.484,
2005-07,0.482,
2005-10,0.469,
2006-01,0.461,
2006-04,0.460,
2006-07,0.451,
2006-10,0.452,
2007-01,0.455,
2007-04,0.441,
2007-07,0.451,
2007-10,0.454,
2008-01,0.459,
2008-04,0.466,
2008-07,0.469,
2008-10,0.477,
2009-01,0.501,
2009-04,0.474,
2009-07,0.475,
2009-10,0.445,
2010-01,0.482,
2010-04,0.492,
2010-07,0.500,
2010-10,0.496,
2011-01,0.495,
2011-04,0.495,
2011-07,0.498,
2011-10,0.506,
2012-01,0.498,
2012-04,0.503,
2012-07,0.511,
2012-10,0.516,
2013-01,0.517,
2013-04,0.519,
2013-07,0.522,
2013-10,0.571,
2014-01,0.575,
2014-04,0.580,
2014-07,0.581,
