"",BBK01.OEGJ03I,BBK01.OEGJ03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:11,
2002-01,7.835,
2002-04,7.776,
2002-07,7.698,
2002-10,7.393,
2003-01,7.389,
2003-04,7.205,
2003-07,7.419,
2003-10,7.306,
2004-01,7.603,
2004-04,7.512,
2004-07,5.585,
2004-10,5.539,
2005-01,5.585,
2005-04,5.382,
2005-07,5.751,
2005-10,6.014,
2006-01,5.693,
2006-04,5.617,
2006-07,5.631,
2006-10,5.480,
2007-01,5.397,
2007-04,5.375,
2007-07,5.709,
2007-10,6.350,
2008-01,7.838,
2008-04,10.183,
2008-07,11.229,
2008-10,9.051,
2009-01,12.137,
2009-04,12.332,
2009-07,10.542,
2009-10,10.730,
2010-01,12.486,
2010-04,7.175,
2010-07,12.868,
2010-10,12.357,
2011-01,12.612,
2011-04,13.661,
2011-07,13.482,
2011-10,10.611,
2012-01,12.279,
2012-04,8.870,
2012-07,11.686,
2012-10,8.462,
2013-01,10.309,
2013-04,7.130,
2013-07,2.652,
2013-10,2.521,
2014-01,3.003,
2014-04,3.171,
2014-07,3.408,
