"",BBK01.OEBJ01T,BBK01.OEBJ01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:07,
2002-01,1.131,
2002-04,1.216,
2002-07,1.133,
2002-10,1.206,
2003-01,1.133,
2003-04,1.125,
2003-07,1.139,
2003-10,1.199,
2004-01,1.108,
2004-04,1.191,
2004-07,1.154,
2004-10,1.282,
2005-01,1.157,
2005-04,1.212,
2005-07,1.216,
2005-10,1.281,
2006-01,1.210,
2006-04,1.237,
2006-07,1.290,
2006-10,1.644,
2007-01,1.439,
2007-04,1.406,
2007-07,1.471,
2007-10,1.639,
2008-01,1.604,
2008-04,1.673,
2008-07,1.734,
2008-10,1.886,
2009-01,1.816,
2009-04,1.938,
2009-07,2.066,
2009-10,2.273,
2010-01,2.131,
2010-04,2.172,
2010-07,2.155,
2010-10,2.451,
2011-01,2.087,
2011-04,2.251,
2011-07,2.271,
2011-10,2.241,
2012-01,2.346,
2012-04,2.142,
2012-07,2.305,
2012-10,2.342,
2013-01,2.418,
2013-04,2.083,
2013-07,2.248,
2013-10,2.300,
2014-01,2.278,
2014-04,2.226,
2014-07,2.310,
