"",BBK01.OEAL07K,BBK01.OEAL07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:35,
2002-01,10.877,
2002-04,10.327,
2002-07,10.338,
2002-10,10.780,
2003-01,10.924,
2003-04,10.828,
2003-07,10.751,
2003-10,10.928,
2004-01,10.883,
2004-04,10.969,
2004-07,11.007,
2004-10,11.274,
2005-01,12.356,
2005-04,12.456,
2005-07,12.305,
2005-10,12.220,
2006-01,12.207,
2006-04,12.169,
2006-07,12.025,
2006-10,12.120,
2007-01,12.261,
2007-04,12.048,
2007-07,11.843,
2007-10,12.090,
2008-01,12.268,
2008-04,12.186,
2008-07,11.853,
2008-10,12.795,
2009-01,12.766,
2009-04,12.721,
2009-07,12.818,
2009-10,12.549,
2010-01,12.512,
2010-04,12.426,
2010-07,12.454,
2010-10,12.821,
2011-01,12.947,
2011-04,12.967,
2011-07,12.835,
2011-10,12.750,
2012-01,12.876,
2012-04,12.757,
2012-07,12.921,
2012-10,12.884,
2013-01,12.668,
2013-04,12.431,
2013-07,12.419,
2013-10,12.533,
2014-01,13.031,
2014-04,13.184,
2014-07,13.430,
