"",BBK01.OEAA40N,BBK01.OEAA40N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:18,
2002-01,4.945,
2002-04,4.891,
2002-07,4.874,
2002-10,4.863,
2003-01,4.777,
2003-04,4.714,
2003-07,4.719,
2003-10,4.652,
2004-01,4.580,
2004-04,4.514,
2004-07,4.474,
2004-10,3.707,
2005-01,4.071,
2005-04,4.029,
2005-07,3.914,
2005-10,3.861,
2006-01,3.728,
2006-04,3.654,
2006-07,3.456,
2006-10,3.273,
2007-01,3.187,
2007-04,3.115,
2007-07,3.032,
2007-10,2.951,
2008-01,2.848,
2008-04,2.776,
2008-07,2.710,
2008-10,2.751,
2009-01,2.663,
2009-04,2.520,
2009-07,2.568,
2009-10,2.543,
2010-01,2.470,
2010-04,2.411,
2010-07,2.321,
2010-10,2.260,
2011-01,2.217,
2011-04,2.158,
2011-07,2.093,
2011-10,2.041,
2012-01,1.987,
2012-04,1.958,
2012-07,1.911,
2012-10,2.072,
2013-01,1.979,
2013-04,2.003,
2013-07,1.952,
2013-10,1.924,
2014-01,1.868,
2014-04,1.821,
2014-07,1.782,
