"",BBK01.OEHJ02T,BBK01.OEHJ02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:23,
2002-01,0.490,
2002-04,0.502,
2002-07,0.517,
2002-10,0.599,
2003-01,0.512,
2003-04,0.519,
2003-07,0.539,
2003-10,0.643,
2004-01,0.538,
2004-04,0.555,
2004-07,0.570,
2004-10,0.683,
2005-01,0.558,
2005-04,0.574,
2005-07,0.593,
2005-10,0.669,
2006-01,0.547,
2006-04,0.561,
2006-07,0.583,
2006-10,0.657,
2007-01,0.583,
2007-04,0.604,
2007-07,0.607,
2007-10,0.693,
2008-01,0.620,
2008-04,0.650,
2008-07,0.637,
2008-10,0.737,
2009-01,0.709,
2009-04,0.850,
2009-07,0.954,
2009-10,0.967,
2010-01,0.914,
2010-04,0.936,
2010-07,0.968,
2010-10,1.024,
2011-01,0.936,
2011-04,0.947,
2011-07,0.943,
2011-10,1.010,
2012-01,0.936,
2012-04,0.983,
2012-07,1.055,
2012-10,1.138,
2013-01,1.008,
2013-04,1.023,
2013-07,1.186,
2013-10,1.217,
2014-01,1.135,
2014-04,1.148,
2014-07,1.232,
