"",BBK01.OEAF28O,BBK01.OEAF28O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:01,
2002-01,0.030,
2002-04,0.029,
2002-07,0.027,
2002-10,0.033,
2003-01,0.032,
2003-04,0.032,
2003-07,0.032,
2003-10,0.030,
2004-01,0.030,
2004-04,0.041,
2004-07,0.026,
2004-10,0.027,
2005-01,0.020,
2005-04,0.022,
2005-07,0.023,
2005-10,0.022,
2006-01,0.025,
2006-04,0.015,
2006-07,0.017,
2006-10,0.017,
2007-01,0.018,
2007-04,0.019,
2007-07,0.019,
2007-10,0.014,
2008-01,0.012,
2008-04,0.010,
2008-07,0.010,
2008-10,0.013,
2009-01,0.011,
2009-04,0.012,
2009-07,0.013,
2009-10,0.013,
2010-01,0.010,
2010-04,0.011,
2010-07,0.012,
2010-10,0.012,
2011-01,0.012,
2011-04,0.010,
2011-07,0.011,
2011-10,0.013,
2012-01,0.014,
2012-04,0.015,
2012-07,0.015,
2012-10,0.013,
2013-01,0.014,
2013-04,0.019,
2013-07,0.018,
2013-10,0.017,
2014-01,0.018,
2014-04,0.020,
2014-07,0.019,
