"",BBFN1.M.DE.N.1.L.U2.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:14,
1995-01,15.087,
1995-02,15.273,
1995-03,16.139,
1995-04,15.913,
1995-05,16.433,
1995-06,16.939,
1995-07,15.847,
1995-08,14.703,
1995-09,16.151,
1995-10,16.561,
1995-11,17.177,
1995-12,16.352,
1996-01,15.217,
1996-02,15.262,
1996-03,16.140,
1996-04,15.699,
1996-05,15.703,
1996-06,15.697,
1996-07,15.362,
1996-08,13.680,
1996-09,15.314,
1996-10,15.294,
1996-11,15.434,
1996-12,15.733,
1997-01,15.388,
1997-02,15.295,
1997-03,15.885,
1997-04,16.277,
1997-05,16.299,
1997-06,16.556,
1997-07,16.274,
1997-08,14.414,
1997-09,16.565,
1997-10,16.853,
1997-11,17.294,
1997-12,18.001,
1998-01,16.477,
1998-02,16.824,
1998-03,17.990,
1998-04,17.330,
1998-05,17.270,
1998-06,17.982,
1998-07,17.597,
1998-08,15.775,
1998-09,17.969,
1998-10,17.964,
1998-11,17.884,
1998-12,17.906,
1999-01,16.836,
1999-02,16.847,
1999-03,18.241,
1999-04,18.159,
1999-05,17.782,
1999-06,18.630,
1999-07,18.372,
1999-08,16.739,
1999-09,18.579,
1999-10,18.692,
1999-11,19.209,
1999-12,20.173,
2000-01,19.435,
2000-02,20.510,
2000-03,21.526,
2000-04,20.829,
2000-05,21.229,
2000-06,22.135,
2000-07,21.523,
2000-08,20.492,
2000-09,22.413,
2000-10,22.892,
2000-11,24.003,
2000-12,23.569,
2001-01,23.609,
2001-02,23.583,
2001-03,24.466,
2001-04,23.096,
2001-05,23.408,
2001-06,24.228,
2001-07,22.767,
2001-08,21.132,
2001-09,22.809,
2001-10,23.637,
2001-11,24.222,
2001-12,24.878,
2002-01,22.848,
2002-02,23.040,
2002-03,22.352,
2002-04,22.107,
2002-05,21.674,
2002-06,22.694,
2002-07,22.293,
2002-08,20.303,
2002-09,22.233,
2002-10,22.538,
2002-11,23.007,
2002-12,22.996,
2003-01,21.381,
2003-02,21.562,
2003-03,22.773,
2003-04,21.227,
2003-05,21.037,
2003-06,21.651,
2003-07,21.373,
2003-08,19.351,
2003-09,21.420,
2003-10,22.002,
2003-11,21.943,
2003-12,22.748,
2004-01,21.184,
2004-02,20.953,
2004-03,23.105,
2004-04,21.163,
2004-05,21.768,
2004-06,22.679,
2004-07,22.224,
2004-08,20.610,
2004-09,23.506,
2004-10,23.847,
2004-11,23.918,
2004-12,24.258,
2005-01,22.135,
2005-02,22.141,
2005-03,23.270,
2005-04,23.288,
2005-05,22.314,
2005-06,24.049,
2005-07,23.338,
2005-08,21.372,
2005-09,24.221,
2005-10,24.616,
2005-11,24.397,
2005-12,25.225,
2006-01,23.020,
2006-02,23.559,
2006-03,25.378,
2006-04,24.475,
2006-05,24.038,
2006-06,24.842,
2006-07,23.846,
2006-08,22.189,
2006-09,25.124,
2006-10,25.879,
2006-11,26.814,
2006-12,28.340,
2007-01,27.210,
2007-02,27.566,
2007-03,29.412,
2007-04,27.325,
2007-05,27.124,
2007-06,28.729,
2007-07,27.543,
2007-08,25.945,
2007-09,28.379,
2007-10,29.565,
2007-11,29.739,
2007-12,28.964,
2008-01,29.180,
2008-02,29.845,
2008-03,30.445,
2008-04,31.246,
2008-05,30.551,
2008-06,31.124,
2008-07,30.843,
2008-08,28.034,
2008-09,31.421,
2008-10,30.819,
2008-11,30.669,
2008-12,29.768,
2009-01,28.070,
2009-02,27.190,
2009-03,29.161,
2009-04,26.526,
2009-05,26.328,
2009-06,28.993,
2009-07,28.662,
2009-08,25.819,
2009-09,28.830,
2009-10,28.126,
2009-11,28.393,
2009-12,28.397,
2010-01,26.443,
2010-02,27.939,
2010-03,30.531,
2010-04,29.927,
2010-05,31.022,
2010-06,32.808,
2010-07,31.882,
2010-08,30.067,
2010-09,32.586,
2010-10,32.835,
2010-11,32.648,
2010-12,33.444,
2011-01,31.853,
2011-02,33.248,
2011-03,35.014,
2011-04,33.472,
2011-05,33.911,
2011-06,35.021,
2011-07,34.587,
2011-08,31.959,
2011-09,35.514,
2011-10,35.600,
2011-11,35.705,
2011-12,37.188,
2012-01,32.922,
2012-02,34.780,
2012-03,35.372,
2012-04,34.347,
2012-05,34.499,
2012-06,34.726,
2012-07,34.017,
2012-08,31.401,
2012-09,33.735,
2012-10,34.813,
2012-11,35.526,
2012-12,36.741,
2013-01,35.429,
2013-02,35.809,
2013-03,35.868,
2013-04,35.096,
2013-05,35.164,
2013-06,35.180,
2013-07,34.983,
2013-08,33.427,
2013-09,36.450,
2013-10,36.358,
2013-11,37.619,
2013-12,36.389,
2014-01,33.105,
2014-02,34.517,
2014-03,36.623,
2014-04,35.272,
2014-05,34.991,
2014-06,36.310,
2014-07,36.167,
2014-08,33.387,
2014-09,36.921,
2014-10,37.041,
2014-11,37.810,
2014-12,35.555,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
