"",BBK01.OEYM10N,BBK01.OEYM10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:28,
2002-01,2.190,
2002-04,2.185,
2002-07,2.173,
2002-10,2.203,
2003-01,2.156,
2003-04,2.168,
2003-07,2.144,
2003-10,2.137,
2004-01,2.109,
2004-04,2.117,
2004-07,2.079,
2004-10,2.076,
2005-01,2.044,
2005-04,2.049,
2005-07,2.024,
2005-10,2.029,
2006-01,1.982,
2006-04,1.981,
2006-07,1.939,
2006-10,1.942,
2007-01,1.911,
2007-04,1.908,
2007-07,1.872,
2007-10,1.890,
2008-01,1.852,
2008-04,1.841,
2008-07,1.823,
2008-10,1.819,
2009-01,1.976,
2009-04,1.971,
2009-07,1.937,
2009-10,1.932,
2010-01,1.902,
2010-04,2.029,
2010-07,1.990,
2010-10,1.974,
2011-01,1.941,
2011-04,1.935,
2011-07,1.910,
2011-10,1.901,
2012-01,1.870,
2012-04,1.863,
2012-07,1.833,
2012-10,1.801,
2013-01,1.768,
2013-04,1.767,
2013-07,1.732,
2013-10,1.730,
2014-01,1.703,
2014-04,1.697,
2014-07,1.674,
