"",BBK01.PQC355,BBK01.PQC355_FLAGS
"",Lending to domestic enterprises / Short-term / Big banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:21,
1968-10,7.908,
1969-01,8.398,
1969-04,8.678,
1969-07,8.954,
1969-10,10.262,
1970-01,9.247,
1970-04,9.477,
1970-07,9.266,
1970-10,9.905,
1971-01,9.944,
1971-04,10.538,
1971-07,9.804,
1971-10,10.947,
1972-01,10.743,
1972-04,11.861,
1972-07,11.499,
1972-10,12.338,
1973-01,12.002,
1973-04,11.688,
1973-07,12.729,
1973-10,12.065,
1974-01,12.092,
1974-04,12.963,
1974-07,13.454,
1974-10,13.903,
1975-01,12.603,
1975-04,12.996,
1975-07,12.343,
1975-10,12.980,
1976-01,11.989,
1976-04,13.076,
1976-07,12.110,
1976-10,13.940,
1977-01,12.345,
1977-04,13.705,
1977-07,13.430,
1977-10,14.283,
1978-01,13.407,
1978-04,14.110,
1978-07,13.819,
1978-10,15.340,
1979-01,14.210,
1979-04,15.070,
1979-07,14.259,
1979-10,15.280,
1980-01,14.362,
1980-04,15.795,
1980-07,15.795,
1980-10,17.307,
1981-01,16.347,
1981-04,17.182,
1981-07,16.864,
1981-10,17.666,
1982-01,16.937,
1982-04,17.693,
1982-07,17.605,
1982-10,18.110,
1983-01,16.920,
1983-04,18.106,
1983-07,18.082,
1983-10,18.906,
1984-01,17.987,
1984-04,19.217,
1984-07,19.434,
1984-10,20.205,
1985-01,20.552,
1985-04,20.654,
1985-07,19.903,
1985-10,20.758,
1986-01,20.755,
1986-04,22.822,
1986-07,22.433,
1986-10,22.712,
1987-01,21.831,
1987-04,21.880,
1987-07,22.484,
1987-10,22.364,
1988-01,22.650,
1988-04,24.422,
1988-07,23.016,
1988-10,25.379,
1989-01,25.635,
1989-04,27.065,
1989-07,27.986,
1989-10,29.464,
1990-01,30.435,
1990-04,32.226,
1990-07,35.582,
1990-10,38.136,
1991-01,42.745,
1991-04,45.968,
1991-07,48.878,
1991-10,52.666,
1992-01,51.815,
1992-04,53.284,
1992-07,49.929,
1992-10,50.914,
1993-01,48.970,
1993-04,48.890,
1993-07,48.993,
1993-10,47.249,
1994-01,45.353,
1994-04,44.697,
1994-07,44.953,
1994-10,44.854,
1995-01,45.715,
1995-04,49.663,
1995-07,50.187,
1995-10,49.388,
1996-01,50.697,
1996-04,52.658,
1996-07,51.395,
1996-10,52.082,
1997-01,53.400,
1997-04,56.425,
1997-07,54.180,
1997-10,54.099,
1998-01,54.618,
1998-04,54.379,
1998-07,53.562,
1998-10,56.188,
1999-01,60.810,
1999-04,64.107,
1999-07,59.668,
1999-10,63.751,
2000-01,66.277,
2000-04,70.658,
2000-07,69.823,
2000-10,64.709,
2001-01,69.022,
2001-04,68.287,
2001-07,64.601,
2001-10,65.248,
2002-01,60.208,
2002-04,60.001,
2002-07,59.459,
2002-10,53.708,
2003-01,53.526,
2003-04,52.107,
2003-07,55.169,
2003-10,51.506,
2004-01,48.898,
2004-04,45.513,
2004-07,45.169,
2004-10,48.940,
2005-01,51.961,
2005-04,53.609,
2005-07,61.400,
2005-10,53.498,
2006-01,66.967,
2006-04,67.906,
2006-07,74.910,
2006-10,52.342,
2007-01,67.709,
2007-04,65.175,
2007-07,69.140,
2007-10,61.938,
2008-01,77.624,
2008-04,79.729,
2008-07,78.524,
2008-10,61.020,
2009-01,66.359,
2009-04,66.661,
2009-07,75.607,
2009-10,60.992,
2010-01,60.216,
2010-04,66.828,
2010-07,61.270,
2010-10,60.243,
2011-01,61.078,
2011-04,71.062,
2011-07,69.847,
2011-10,73.607,
2012-01,74.932,
2012-04,76.693,
2012-07,84.527,
2012-10,74.078,
2013-01,86.025,
2013-04,95.517,
2013-07,40.373,
2013-10,38.581,
2014-01,40.467,
2014-04,41.884,
2014-07,41.577,
2014-10,38.060,
