"",BBK01.OELB05J,BBK01.OELB05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:39,
2002-01,1.370,
2002-04,1.382,
2002-07,1.393,
2002-10,1.387,
2003-01,1.386,
2003-04,1.396,
2003-07,1.396,
2003-10,1.405,
2004-01,1.392,
2004-04,1.408,
2004-07,1.414,
2004-10,1.505,
2005-01,1.491,
2005-04,1.498,
2005-07,1.515,
2005-10,1.519,
2006-01,1.547,
2006-04,1.562,
2006-07,1.569,
2006-10,1.495,
2007-01,1.495,
2007-04,1.488,
2007-07,1.483,
2007-10,1.488,
2008-01,1.491,
2008-04,1.492,
2008-07,1.511,
2008-10,1.511,
2009-01,1.503,
2009-04,1.517,
2009-07,1.536,
2009-10,1.528,
2010-01,1.525,
2010-04,1.525,
2010-07,1.538,
2010-10,1.570,
2011-01,1.558,
2011-04,1.594,
2011-07,1.607,
2011-10,1.623,
2012-01,1.653,
2012-04,2.236,
2012-07,2.254,
2012-10,2.303,
2013-01,2.296,
2013-04,2.315,
2013-07,2.327,
2013-10,2.345,
2014-01,2.115,
2014-04,2.147,
2014-07,2.152,
