"",BBK01.OEAB07N,BBK01.OEAB07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:29,
2002-01,42.733,
2002-04,41.620,
2002-07,42.348,
2002-10,42.758,
2003-01,46.366,
2003-04,45.690,
2003-07,46.025,
2003-10,44.155,
2004-01,44.457,
2004-04,44.846,
2004-07,46.176,
2004-10,42.850,
2005-01,42.819,
2005-04,43.439,
2005-07,44.875,
2005-10,46.175,
2006-01,45.875,
2006-04,46.561,
2006-07,47.759,
2006-10,47.704,
2007-01,48.089,
2007-04,50.913,
2007-07,52.134,
2007-10,52.708,
2008-01,56.655,
2008-04,57.404,
2008-07,51.466,
2008-10,52.735,
2009-01,50.170,
2009-04,52.363,
2009-07,54.487,
2009-10,54.800,
2010-01,54.169,
2010-04,54.435,
2010-07,55.226,
2010-10,56.064,
2011-01,56.782,
2011-04,56.374,
2011-07,57.227,
2011-10,57.286,
2012-01,57.963,
2012-04,56.025,
2012-07,54.394,
2012-10,53.766,
2013-01,54.132,
2013-04,54.419,
2013-07,52.880,
2013-10,52.186,
2014-01,52.730,
2014-04,53.348,
2014-07,53.310,
