"",BBK01.OEHJ09O,BBK01.OEHJ09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:06,
2002-01,0.035,
2002-04,0.032,
2002-07,0.021,
2002-10,0.018,
2003-01,0.019,
2003-04,0.030,
2003-07,0.034,
2003-10,0.033,
2004-01,0.038,
2004-04,0.033,
2004-07,0.034,
2004-10,0.026,
2005-01,0.028,
2005-04,0.022,
2005-07,0.022,
2005-10,0.028,
2006-01,0.025,
2006-04,0.026,
2006-07,0.027,
2006-10,0.019,
2007-01,0.019,
2007-04,0.019,
2007-07,0.011,
2007-10,0.012,
2008-01,0.007,
2008-04,0.019,
2008-07,0.033,
2008-10,0.033,
2009-01,0.039,
2009-04,0.058,
2009-07,0.063,
2009-10,0.064,
2010-01,0.063,
2010-04,0.066,
2010-07,0.063,
2010-10,0.047,
2011-01,0.047,
2011-04,0.046,
2011-07,0.043,
2011-10,0.044,
2012-01,0.044,
2012-04,0.056,
2012-07,0.050,
2012-10,0.051,
2013-01,0.054,
2013-04,0.050,
2013-07,0.050,
2013-10,0.053,
2014-01,0.054,
2014-04,0.033,
2014-07,0.026,
