"",BBFN1.M.DE.N.1.L.KW.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KW.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:43,
1994-12,1.645,
1995-01,1.655,
1995-02,1.667,
1995-03,1.677,
1995-04,1.723,
1995-05,1.707,
1995-06,1.670,
1995-07,1.655,
1995-08,1.668,
1995-09,1.673,
1995-10,1.688,
1995-11,1.686,
1995-12,1.710,
1996-01,1.722,
1996-02,1.725,
1996-03,1.746,
1996-04,1.742,
1996-05,1.752,
1996-06,1.778,
1996-07,1.675,
1996-08,1.657,
1996-09,1.665,
1996-10,1.679,
1996-11,1.663,
1996-12,1.715,
1997-01,1.714,
1997-02,1.723,
1997-03,1.699,
1997-04,1.691,
1997-05,1.701,
1997-06,1.716,
1997-07,1.644,
1997-08,1.647,
1997-09,1.657,
1997-10,1.666,
1997-11,1.663,
1997-12,1.677,
1998-01,1.677,
1998-02,1.690,
1998-03,1.701,
1998-04,1.710,
1998-05,1.719,
1998-06,1.691,
1998-07,1.595,
1998-08,1.596,
1998-09,1.600,
1998-10,1.611,
1998-11,1.615,
1998-12,1.623,
1999-01,1.676,
1999-02,1.633,
1999-03,1.641,
1999-04,1.622,
1999-05,1.648,
1999-06,1.667,
1999-07,1.580,
1999-08,1.592,
1999-09,1.605,
1999-10,1.626,
1999-11,0.095,
1999-12,0.105,
2000-01,0.106,
2000-02,0.121,
2000-03,0.121,
2000-04,0.116,
2000-05,0.122,
2000-06,0.106,
2000-07,0.111,
2000-08,0.116,
2000-09,0.122,
2000-10,0.124,
2000-11,0.113,
2000-12,0.129,
2001-01,0.133,
2001-02,0.129,
2001-03,0.120,
2001-04,0.136,
2001-05,0.131,
2001-06,0.146,
2001-07,0.196,
2001-08,0.204,
2001-09,0.209,
2001-10,0.211,
2001-11,0.204,
2001-12,0.200,
2002-01,0.195,
2002-02,0.201,
2002-03,0.200,
2002-04,0.203,
2002-05,0.211,
2002-06,0.214,
2002-07,0.214,
2002-08,0.191,
2002-09,0.182,
2002-10,0.186,
2002-11,0.187,
2002-12,0.178,
2003-01,0.202,
2003-02,0.178,
2003-03,0.176,
2003-04,0.214,
2003-05,0.217,
2003-06,0.224,
2003-07,0.224,
2003-08,0.247,
2003-09,0.243,
2003-10,0.228,
2003-11,0.248,
2003-12,0.251,
2004-01,0.232,
2004-02,0.238,
2004-03,0.307,
2004-04,0.300,
2004-05,0.317,
2004-06,0.314,
2004-07,0.339,
2004-08,0.297,
2004-09,0.354,
2004-10,0.398,
2004-11,0.387,
2004-12,0.402,
2005-01,0.386,
2005-02,0.430,
2005-03,0.472,
2005-04,0.201,
2005-05,0.219,
2005-06,0.273,
2005-07,0.206,
2005-08,0.210,
2005-09,0.228,
2005-10,0.225,
2005-11,0.225,
2005-12,0.175,
2006-01,0.153,
2006-02,0.161,
2006-03,0.154,
2006-04,0.160,
2006-05,0.169,
2006-06,0.190,
2006-07,0.198,
2006-08,0.184,
2006-09,0.181,
2006-10,0.184,
2006-11,0.197,
2006-12,0.200,
2007-01,0.206,
2007-02,0.212,
2007-03,0.214,
2007-04,0.218,
2007-05,0.221,
2007-06,0.254,
2007-07,0.270,
2007-08,0.277,
2007-09,0.285,
2007-10,0.323,
2007-11,0.329,
2007-12,0.302,
2008-01,0.307,
2008-02,0.320,
2008-03,0.306,
2008-04,0.303,
2008-05,0.309,
2008-06,0.308,
2008-07,0.312,
2008-08,0.309,
2008-09,0.290,
2008-10,0.294,
2008-11,0.316,
2008-12,0.299,
2009-01,0.316,
2009-02,0.355,
2009-03,0.379,
2009-04,0.441,
2009-05,0.450,
2009-06,0.479,
2009-07,0.457,
2009-08,0.466,
2009-09,0.459,
2009-10,0.453,
2009-11,0.455,
2009-12,0.473,
2010-01,0.487,
2010-02,0.501,
2010-03,0.506,
2010-04,0.484,
2010-05,0.525,
2010-06,0.526,
2010-07,0.525,
2010-08,0.324,
2010-09,0.383,
2010-10,0.389,
2010-11,0.379,
2010-12,0.408,
2011-01,0.420,
2011-02,0.431,
2011-03,0.373,
2011-04,0.374,
2011-05,0.374,
2011-06,0.372,
2011-07,0.368,
2011-08,0.364,
2011-09,0.373,
2011-10,0.366,
2011-11,0.364,
2011-12,0.335,
2012-01,0.340,
2012-02,0.341,
2012-03,0.341,
2012-04,0.361,
2012-05,0.365,
2012-06,0.355,
2012-07,0.326,
2012-08,0.329,
2012-09,0.317,
2012-10,0.317,
2012-11,0.309,
2012-12,0.267,
2013-01,0.287,
2013-02,0.306,
2013-03,0.301,
2013-04,0.273,
2013-05,0.277,
2013-06,0.266,
2013-07,0.240,
2013-08,0.250,
2013-09,0.292,
2013-10,0.286,
2013-11,0.278,
2013-12,0.303,
2014-01,0.319,
2014-02,0.322,
2014-03,0.309,
2014-04,0.342,
2014-05,0.347,
2014-06,0.347,
2014-07,0.344,
2014-08,0.308,
2014-09,0.302,
2014-10,0.303,
2014-11,0.308,
2014-12,0.318,
