"",BBK01.OEBB05R,BBK01.OEBB05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:26,
2002-01,8.381,
2002-04,8.427,
2002-07,8.546,
2002-10,8.707,
2003-01,8.377,
2003-04,8.377,
2003-07,8.382,
2003-10,8.363,
2004-01,8.346,
2004-04,8.374,
2004-07,8.370,
2004-10,8.342,
2005-01,9.269,
2005-04,9.293,
2005-07,9.273,
2005-10,9.144,
2006-01,9.110,
2006-04,9.206,
2006-07,9.300,
2006-10,9.326,
2007-01,9.486,
2007-04,9.567,
2007-07,9.567,
2007-10,9.744,
2008-01,14.592,
2008-04,10.053,
2008-07,10.117,
2008-10,10.172,
2009-01,10.101,
2009-04,10.629,
2009-07,10.677,
2009-10,10.921,
2010-01,11.193,
2010-04,11.343,
2010-07,11.493,
2010-10,11.609,
2011-01,11.810,
2011-04,11.901,
2011-07,11.977,
2011-10,12.282,
2012-01,12.435,
2012-04,12.583,
2012-07,12.731,
2012-10,12.939,
2013-01,13.091,
2013-04,13.250,
2013-07,13.455,
2013-10,13.715,
2014-01,13.888,
2014-04,13.823,
2014-07,13.861,
