"",BBK01.OEAF38V,BBK01.OEAF38V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:42,
2002-01,0.293,
2002-04,0.296,
2002-07,0.279,
2002-10,0.282,
2003-01,0.278,
2003-04,0.281,
2003-07,0.284,
2003-10,0.285,
2004-01,0.273,
2004-04,0.276,
2004-07,0.317,
2004-10,0.314,
2005-01,0.316,
2005-04,0.315,
2005-07,0.313,
2005-10,0.309,
2006-01,0.289,
2006-04,0.284,
2006-07,0.281,
2006-10,0.325,
2007-01,0.324,
2007-04,0.325,
2007-07,0.318,
2007-10,0.281,
2008-01,0.263,
2008-04,0.250,
2008-07,0.246,
2008-10,0.247,
2009-01,0.234,
2009-04,0.230,
2009-07,0.231,
2009-10,0.228,
2010-01,0.222,
2010-04,0.215,
2010-07,0.215,
2010-10,0.165,
2011-01,0.160,
2011-04,0.209,
2011-07,0.193,
2011-10,0.196,
2012-01,0.192,
2012-04,0.190,
2012-07,0.185,
2012-10,0.180,
2013-01,0.196,
2013-04,0.201,
2013-07,0.195,
2013-10,0.195,
2014-01,0.195,
2014-04,0.195,
2014-07,0.199,
