"",BBK01.OEYB13J,BBK01.OEYB13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:52,
2002-01,0.678,
2002-04,0.669,
2002-07,1.098,
2002-10,1.169,
2003-01,1.158,
2003-04,1.070,
2003-07,1.025,
2003-10,1.008,
2004-01,0.993,
2004-04,0.978,
2004-07,0.925,
2004-10,0.924,
2005-01,0.917,
2005-04,0.891,
2005-07,0.873,
2005-10,0.818,
2006-01,0.800,
2006-04,0.804,
2006-07,0.766,
2006-10,0.735,
2007-01,0.700,
2007-04,0.683,
2007-07,0.667,
2007-10,0.659,
2008-01,0.653,
2008-04,0.631,
2008-07,0.293,
2008-10,0.292,
2009-01,0.295,
2009-04,0.276,
2009-07,0.266,
2009-10,0.261,
2010-01,0.253,
2010-04,0.253,
2010-07,0.243,
2010-10,0.240,
2011-01,0.233,
2011-04,0.232,
2011-07,0.244,
2011-10,0.227,
2012-01,0.220,
2012-04,0.216,
2012-07,0.214,
2012-10,0.207,
2013-01,0.198,
2013-04,0.190,
2013-07,0.179,
2013-10,0.172,
2014-01,0.170,
2014-04,0.135,
2014-07,0.114,
